date,net_return,loss,turnover,kappa,rolling_cvar_60
2020-01-02,0.005336980913582127,-0.005336980913582127,0.0,,
2020-01-03,-0.006442481805070203,0.006442481805070203,0.0,,
2020-01-06,0.0038152443977348327,-0.0038152443977348327,0.0,,
2020-01-07,-0.0030627961309201332,0.0030627961309201332,0.0,,
2020-01-08,0.0004213519937787733,-0.0004213519937787733,0.0,,
2020-01-09,0.006489990713323033,-0.006489990713323033,0.0,,
2020-01-10,-0.006580884269441926,0.006580884269441926,0.0,,
2020-01-13,0.0023949036728260166,-0.0023949036728260166,0.0,,
2020-01-14,0.0010361682534546363,-0.0010361682534546363,0.0,,
2020-01-15,0.0003005318585474799,-0.0003005318585474799,0.0,,
2020-01-16,0.006791392632639843,-0.006791392632639843,0.0,,
2020-01-17,0.00378296949880361,-0.00378296949880361,0.0,,
2020-01-21,-0.00627421737857738,0.00627421737857738,0.0,,
2020-01-22,-0.0010234790978239034,0.0010234790978239034,0.0,,
2020-01-23,-0.0033597560761549567,0.0033597560761549567,0.0,,
2020-01-24,-0.00815878495274539,0.00815878495274539,0.0,,
2020-01-27,-0.01633644727922794,0.01633644727922794,0.0,,
2020-01-28,0.00838218779055186,-0.00838218779055186,0.0,,
2020-01-29,-0.0028490352886046365,0.0028490352886046365,0.0,,
2020-01-30,0.0045958153310544795,-0.0045958153310544795,0.0,,0.01633644727922794
2020-01-31,-0.020450170451635868,0.020450170451635868,0.0,1.0515797093323742,0.018393308865431904
2020-02-03,0.0060144088034707,-0.0060144088034707,0.0,,0.018393308865431904
2020-02-04,0.010738673250892481,-0.010738673250892481,0.0,,0.018393308865431904
2020-02-05,0.0199431747637374,-0.0199431747637374,0.0,,0.018393308865431904
2020-02-06,-0.0009938890108305365,0.0009938890108305365,0.0,,0.018393308865431904
2020-02-07,-0.0077195137101138235,0.0077195137101138235,0.0,,0.018393308865431904
2020-02-10,0.0028452646959889766,-0.0028452646959889766,0.0,,0.018393308865431904
2020-02-11,0.004587604973078873,-0.004587604973078873,0.0,,0.018393308865431904
2020-02-12,0.006442114536909201,-0.006442114536909201,0.0,,0.018393308865431904
2020-02-13,-0.0018838890165393438,0.0018838890165393438,0.0,,0.018393308865431904
2020-02-14,0.0006871000874981868,-0.0006871000874981868,0.0,,0.018393308865431904
2020-02-18,-0.007367107049441136,0.007367107049441136,0.0,,0.018393308865431904
2020-02-19,0.00706452996113429,-0.00706452996113429,0.0,,0.018393308865431904
2020-02-20,-0.004628612154737255,0.004628612154737255,0.0,,0.018393308865431904
2020-02-21,-0.006800239712689746,0.006800239712689746,0.0,,0.018393308865431904
2020-02-24,-0.030418272293868457,0.030418272293868457,0.0,,0.025434221372752162
2020-02-25,-0.032111742317456254,0.032111742317456254,0.0,,0.031265007305662354
2020-02-26,-0.0031642533085046096,0.0031642533085046096,0.0,,0.031265007305662354
2020-02-27,-0.04522168798771857,0.04522168798771857,0.0,,0.03866671515258741
2020-02-28,-0.010881828651256021,0.010881828651256021,0.0,1.1426337552608672,0.03866671515258741
2020-03-02,0.04399857293986538,-0.04399857293986538,0.0,,0.03591723419968109
2020-03-03,-0.026732940187664585,0.026732940187664585,0.0,,0.03591723419968109
2020-03-04,0.04154078204446495,-0.04154078204446495,0.0,,0.03591723419968109
2020-03-05,-0.03440660620350115,0.03440660620350115,0.0,,0.03724667883622532
2020-03-06,-0.025234181338078948,0.025234181338078948,0.0,,0.03724667883622532
2020-03-09,-0.10335537951715856,0.10335537951715856,0.0,,0.06099455790279277
2020-03-10,0.04553107444221782,-0.04553107444221782,0.0,,0.06099455790279277
2020-03-11,-0.04918667365423656,0.04918667365423656,0.0,,0.06592124705303791
2020-03-12,-0.10337641669448266,0.10337641669448266,0.0,,0.08530615662195927
2020-03-13,0.08548914651877809,-0.08548914651877809,0.0,,0.08530615662195927
2020-03-16,-0.12240820062153945,0.12240820062153945,0.0,,0.1097133322777269
2020-03-17,0.0522510664168952,-0.0522510664168952,0.0,,0.1097133322777269
2020-03-18,-0.07589411663834286,0.07589411663834286,0.0,,0.1097133322777269
2020-03-19,0.025847458144612145,-0.025847458144612145,0.0,,0.1097133322777269
2020-03-20,-0.035877827528590124,0.035877827528590124,0.0,,0.1097133322777269
2020-03-23,-0.04340715122004972,0.04340715122004972,0.0,,0.1097133322777269
2020-03-24,0.12381313001626912,-0.12381313001626912,0.0,,0.1097133322777269
2020-03-25,0.024363700312448302,-0.024363700312448302,0.0,,0.1097133322777269
2020-03-26,0.06669462809800887,-0.06669462809800887,0.0,,0.1097133322777269
2020-03-27,-0.042619881390845896,0.042619881390845896,0.0,,0.1097133322777269
2020-03-30,0.03013925185841923,-0.03013925185841923,0.0,,0.1097133322777269
2020-03-31,-0.018153345853264523,0.018153345853264523,0.0,1.060554610569538,0.1097133322777269
2020-04-01,-0.053348496701716736,0.053348496701716736,0.0,,0.1097133322777269
2020-04-02,0.03177649557785401,-0.03177649557785401,0.0,,0.1097133322777269
2020-04-03,-0.01748820330823852,0.01748820330823852,0.0,,0.1097133322777269
2020-04-06,0.06970714122553857,-0.06970714122553857,0.0,,0.1097133322777269
2020-04-07,0.00827681966389544,-0.00827681966389544,0.0,,0.1097133322777269
2020-04-08,0.0464487661109143,-0.0464487661109143,0.0,,0.1097133322777269
2020-04-09,0.019528372244918803,-0.019528372244918803,0.0,,0.1097133322777269
2020-04-13,-0.022089863200999822,0.022089863200999822,0.0,,0.1097133322777269
2020-04-14,0.016619603990400744,-0.016619603990400744,0.0,,0.1097133322777269
2020-04-15,-0.02812801050180746,0.02812801050180746,0.0,,0.1097133322777269
2020-04-16,-0.007502798260508318,0.007502798260508318,0.0,,0.1097133322777269
2020-04-17,0.05709374431944994,-0.05709374431944994,0.0,,0.1097133322777269
2020-04-20,-0.02199515695873793,0.02199515695873793,0.0,,0.1097133322777269
