annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_5pct,cvar_5pct,avg_turnover,total_transaction_cost,calmar_ratio,method,group,crisis_2020,crisis_2022,universe_id,corr_group,avg_corr_val
0.046907528250686115,0.2154094640105126,0.21775982994134785,0.28796783044642027,0.2729368033874604,0.01545356543804868,0.0282822322193251,0.02546875210424023,0.0,0.17186223209369206,A_ceil_CVaR,equity_v6,0.06909644654827318,0.1444322552621935,192,low,0.2725064294251852
0.16271287496971132,0.47902071082351344,0.33967816274578566,1.064424246896862,0.29635045631147794,0.0168806708193766,0.028364270756929447,0.026583286285625538,0.0,0.5490555911231417,B_fixed_kappa,equity_v6,0.10050335567239954,0.1701363943204689,192,low,0.2725064294251852
0.07310312844819045,0.2185672820756127,0.33446510270874225,0.45736402126496273,0.24017289516374374,0.01704772213185055,0.028703011966022,0.02265901470500188,0.0,0.3043770963344994,C_default,equity_v6,0.0572233170784292,0.12813363015668167,192,low,0.2725064294251852
0.10351456468833131,0.29811941568195416,0.3472251696573994,0.6745199659446833,0.28970943899708157,0.014904260313564054,0.027006028087995872,0.012087450585054943,0.0,0.35730477076162537,C_stable,equity_v6,0.05405586226646952,0.15552920399874048,192,low,0.2725064294251852
0.023266066743662606,0.1865891700286176,0.12469141022543932,0.16063740574894808,0.33551573885056385,0.015932295759635087,0.02644210496146015,0.02451956140345487,0.0,0.06934418881024575,A_ceil_CVaR,equity_v6,0.040192603746531,0.025993533697541427,215,low,0.2833736103902859
0.024876344892113433,0.19434460408673865,0.12800121212015117,0.15587694367323093,0.3398882970117255,0.01665617510911037,0.028782159214114048,0.026521373180529714,0.0,0.07318976590492977,B_fixed_kappa,equity_v6,0.13655461012249648,0.09357214356125387,215,low,0.2833736103902859
0.02844881267292232,0.19168603563908979,0.14841358984796524,0.1909930252073779,0.3342542548577645,0.01657435850906155,0.02765047646928716,0.027936348529038726,0.0,0.08511129554664358,C_default,equity_v6,0.0447576686364658,0.14937285505034748,215,low,0.2833736103902859
0.018615885983017222,0.18566625657386723,0.10026531652298866,0.12568995776456784,0.330834344200995,0.01603722339772685,0.027422482123728106,0.012626832211775085,0.0,0.05626950862062656,C_stable,equity_v6,0.11003313303678786,0.02290581141645176,215,low,0.2833736103902859
0.08960593123036364,0.22018877812875434,0.4069504903559027,0.5689666476147521,0.3539303428191176,0.015485591425273861,0.028497764964724732,0.027315794326621214,0.0,0.2531739169821852,A_ceil_CVaR,equity_v6,0.16158452994965178,0.04459670130193283,68,low,0.2840844666567549
0.07308401239639695,0.22346778911906542,0.32704495213606466,0.47103789783165795,0.34294823104699945,0.016143828214711838,0.02927201149583097,0.01831815629923165,0.0,0.21310508636617265,B_fixed_kappa,equity_v6,0.13781000473119442,0.09748655572814535,68,low,0.2840844666567549
0.07681683108130688,0.2203341316211785,0.34863790968790265,0.4990952660150909,0.35064096328667316,0.01553952883149799,0.028232542758364253,0.02625489921007537,0.0,0.21907546215159074,C_default,equity_v6,0.13605570791243682,0.06109783217502274,68,low,0.2840844666567549
0.08059352716897861,0.2216430698586313,0.3636185296494173,0.5208267409449263,0.35324615382756885,0.016033096999487337,0.028310571550230007,0.02340545973896556,0.0,0.22815118097030712,C_stable,equity_v6,0.14697927450944526,0.010242852695916072,68,low,0.2840844666567549
0.04706150455539704,0.18754919843014983,0.25092884933296294,0.3125460565556548,0.2377303248304361,0.015566791551118056,0.027180005512576287,0.02699198428850784,0.0,0.19796172233796508,A_ceil_CVaR,equity_v6,0.10453339538598694,0.05099861511103443,251,mid,0.3339391250910632
0.08899421863300239,0.18813052148964843,0.47304508555194297,0.6061277328928744,0.2396339543260615,0.016527803059610695,0.026821599978708515,0.026585331728645675,0.0,0.3713756628658353,B_fixed_kappa,equity_v6,0.1039954541954008,0.048078846116468954,251,mid,0.3339391250910632
0.09102727823304946,0.18932287385110558,0.48080443942890155,0.6113775599757578,0.23913033192754707,0.016928258364401785,0.02720913847603422,0.024159482067019903,0.0,0.380659690886179,C_default,equity_v6,0.10748681385665193,0.06296274677756553,251,mid,0.3339391250910632
0.07179006345805816,0.18769341853095614,0.38248577930940014,0.4582117971026006,0.28760713613686806,0.015570633146483019,0.027943546269356693,0.009270957828009038,0.0,0.24961155144597774,C_stable,equity_v6,0.1113504873908241,0.0204530113329906,251,mid,0.3339391250910632
