rebalance_date,scenario_date,method,loss,q,kappa
2020-01-31,2019-03-22,A_no_kappa,0.018207320635795173,0.07936507936507936,1.0
2020-01-31,2019-05-07,A_no_kappa,0.016627599329254214,0.07936507936507936,1.0
2020-01-31,2019-05-13,A_no_kappa,0.022246317653662726,0.07936507936507936,1.0
2020-01-31,2019-05-23,A_no_kappa,0.011922610320911596,0.047619047619048005,1.0
2020-01-31,2019-05-31,A_no_kappa,0.012971328413461127,0.07936507936507936,1.0
2020-01-31,2019-08-05,A_no_kappa,0.029569578043141573,0.07936507936507936,1.0
2020-01-31,2019-08-12,A_no_kappa,0.014126275456246715,0.07936507936507936,1.0
2020-01-31,2019-08-14,A_no_kappa,0.030065810208219544,0.07936507936507936,1.0
2020-01-31,2019-08-23,A_no_kappa,0.02483624788130135,0.07936507936507936,1.0
2020-01-31,2019-10-01,A_no_kappa,0.014975671630609914,0.07936507936507936,1.0
2020-01-31,2019-10-02,A_no_kappa,0.01888688241012833,0.07936507936507936,1.0
2020-01-31,2019-10-08,A_no_kappa,0.016473755033490023,0.07936507936507936,1.0
2020-01-31,2020-01-27,A_no_kappa,0.014608501001558997,0.07936507936507936,1.0
2020-02-28,2019-03-22,A_no_kappa,0.018207320635795173,0.07936507936507936,1.0
2020-02-28,2019-05-07,A_no_kappa,0.016627599329254214,0.07936507936507936,1.0
2020-02-28,2019-05-13,A_no_kappa,0.022246317653662726,0.07936507936507936,1.0
2020-02-28,2019-08-05,A_no_kappa,0.029569578043141573,0.07936507936507936,1.0
2020-02-28,2019-08-14,A_no_kappa,0.030065810208219544,0.07936507936507936,1.0
2020-02-28,2019-08-23,A_no_kappa,0.02483624788130135,0.07936507936507936,1.0
2020-02-28,2019-10-01,A_no_kappa,0.014975671630609914,0.047619047619048005,1.0
2020-02-28,2019-10-02,A_no_kappa,0.01888688241012833,0.07936507936507936,1.0
2020-02-28,2019-10-08,A_no_kappa,0.016473755033490023,0.07936507936507936,1.0
2020-02-28,2020-01-31,A_no_kappa,0.018070516481949107,0.07936507936507936,1.0
2020-02-28,2020-02-24,A_no_kappa,0.03177496205633646,0.07936507936507936,1.0
2020-02-28,2020-02-25,A_no_kappa,0.030401102262038144,0.07936507936507936,1.0
2020-02-28,2020-02-27,A_no_kappa,0.04285451487209137,0.07936507936507936,1.0
2020-03-31,2019-05-31,A_no_kappa,0.030214815966480426,0.07936507936507936,1.0
2020-03-31,2019-07-31,A_no_kappa,0.019884659213931986,0.07936507936507936,1.0
2020-03-31,2019-08-23,A_no_kappa,0.01918372741871058,0.07936507936507936,1.0
2020-03-31,2020-02-27,A_no_kappa,0.03762561497073095,0.07936507936507936,1.0
2020-03-31,2020-02-28,A_no_kappa,0.0228707731779313,0.07936507936507936,1.0
2020-03-31,2020-03-03,A_no_kappa,0.026921373306688708,0.07936507936507936,1.0
2020-03-31,2020-03-09,A_no_kappa,0.01937199110257049,0.07936507936507936,1.0
2020-03-31,2020-03-11,A_no_kappa,0.03650117424293386,0.07936507936507936,1.0
2020-03-31,2020-03-12,A_no_kappa,0.07733391297524837,0.07936507936507936,1.0
2020-03-31,2020-03-16,A_no_kappa,0.06154075354976179,0.07936507936507936,1.0
