method,q_hhi_mean,top1_q_mean,top3_q_mean,top5_q_mean
A_no_kappa,0.07785336356764928,0.07936507936507935,0.23809523809523805,0.3968253968253967
B_fixed_kappa,0.15343915343915346,0.1587301587301587,0.4761904761904761,0.7936507936507934
C_manual_kappa,0.1292725640137372,0.1507714259762336,0.43177696610707783,0.6910135598592773
