model,etf10,etf20,sp30
A_no_kappa,0.016707410286967,0.0217418799885034,0.027762201521427114
B_fixed_kappa,0.0164608703658729,0.0219497744016015,0.026011564720514743
C_learned_kappa,0.0168730766997999,0.021871624517745,0.027058522093564106
C_manual_kappa,0.0162521122888998,0.0219590381646776,0.025031513586067533
D_state_action,0.0164812891102274,0.0219242771149079,0.02611125365722345
