w_l1_dist,obj_a_rcvar,obj_a_cvar,obj_h_cvar,obj_h_on_wa,opt_a_success,opt_h_success,date
0.41866610811429045,0.011850477682696075,0.011761546503377731,0.011812160704346705,0.011761546503377731,False,True,2020-01-31
0.26231204627225807,0.015768185581933575,0.0156389259925885,0.015759108647617787,0.0156389259925885,False,True,2020-02-28
0.26977003164588026,0.03299314965185333,0.032521811444054985,0.03228349723272475,0.032521811444054985,True,False,2020-03-31
1.4814372059026735,0.038742388621935346,0.038166104185455414,0.03192857272710203,0.038166104185455414,True,True,2020-04-30
1.2598698015443959,0.032230189907422074,0.0318219619071871,0.034453987829531026,0.0318219619071871,False,True,2020-05-29
0.06869462032189023,0.03247052123269598,0.032071760734917416,0.0320632633364611,0.032071760734917416,True,True,2020-06-30
0.011724366698935854,0.03412755752542372,0.03375298224640549,0.03370161658456083,0.03375298224640549,True,True,2020-07-31
0.21697084638313013,0.03160063230499914,0.031148676284384523,0.031368336431350584,0.031148676284384523,True,True,2020-08-31
0.0652941211689957,0.031062062458002818,0.03060920042399481,0.030617146986825074,0.03060920042399481,True,True,2020-09-30
0.09565409427586917,0.031176463055233458,0.030727659077849783,0.030756450297825297,0.030727659077849783,True,True,2020-10-30
0.08556607575939268,0.031130742993281293,0.03068448649228889,0.030599166774845313,0.03068448649228889,True,False,2020-11-30
0.14428737335362113,0.030955260669280314,0.030524029402229598,0.030746679994065832,0.030524029402229598,False,True,2020-12-31
0.4126165097624193,0.03297937886281551,0.032588137522378116,0.03334784066534458,0.032588137522378116,False,True,2021-01-29
0.5702787968413066,0.03296854839432441,0.03257529986762188,0.03353079359838706,0.03257529986762188,False,True,2021-02-26
0.13272358992616612,0.0170897199085833,0.016991435311428278,0.017078229331272787,0.016991435311428278,False,True,2021-03-31
0.9147925487677931,0.01664150227116785,0.016549055710228768,0.017188937987029022,0.016549055710228768,False,True,2021-04-30
0.25540238524051595,0.016647645782299762,0.016554620308684667,0.01666152002114972,0.016554620308684667,False,True,2021-05-28
0.20418797109066278,0.014236472508077802,0.014180190454597544,0.014140465832884284,0.014180190454597544,False,False,2021-06-30
0.1191881269973755,0.0139888565736038,0.013922254657296962,0.013963556843398221,0.013922254657296962,False,True,2021-07-30
0.18712092006122408,0.014120504774605303,0.014054638750452956,0.014170769901481013,0.014054638750452956,False,True,2021-08-31
0.22577619695878215,0.012575518140500095,0.012531131677826437,0.012418869849278775,0.012531131677826437,False,False,2021-09-30
0.19616884851931932,0.012015261918748764,0.011972436476630401,0.011988210906348995,0.011972436476630401,False,False,2021-10-29
0.28502089695808863,0.0118027518639137,0.011763191095337463,0.011867285039414347,0.011763191095337463,False,True,2021-11-30
0.16273364722757086,0.012224407985112604,0.012173477229964163,0.012185638217793289,0.012173477229964163,False,False,2021-12-31
0.1991643242810949,0.011071731270747145,0.011049485120553612,0.011089191234918576,0.011049485120553612,False,False,2022-01-31
0.0930763695994822,0.011603611788692916,0.011578918175311741,0.011577093751285529,0.011578918175311741,False,False,2022-02-28
0.23799897584240218,0.011760965532696314,0.011731260058078537,0.011797200514588787,0.011731260058078537,False,True,2022-03-31
0.4714672513355266,0.01329602770123344,0.01326543497205056,0.012605570143217752,0.01326543497205056,True,False,2022-04-29
0.09842972339017277,0.013804578273315276,0.013750841489813592,0.013798844568737978,0.013750841489813592,False,True,2022-05-31
0.11055205105721146,0.01633323163736253,0.016260981477550337,0.01634518921852242,0.016260981477550337,False,True,2022-06-30
0.2201003637692286,0.01671416977657199,0.01662990538381299,0.016843208148010824,0.01662990538381299,False,True,2022-07-29
0.24199737735320848,0.017128557432134373,0.017050725268133088,0.017233135948021436,0.017050725268133088,False,True,2022-08-31
0.3412041527410691,0.018203425599038026,0.018096935483143055,0.01864726662594474,0.018096935483143055,False,True,2022-09-30
0.06666542732219653,0.018219870255739474,0.018112570612554182,0.018096445096905504,0.018112570612554182,False,True,2022-10-31
0.22523690337149715,0.018056125752471643,0.017985323983218542,0.017903754657919747,0.017985323983218542,False,False,2022-11-30
0.17623705605442053,0.017738957577560357,0.017636535547385566,0.017666431449619165,0.017636535547385566,False,True,2022-12-30
0.08965837079394758,0.01872784452586364,0.01859750419204564,0.018559652498429266,0.01859750419204564,False,False,2023-01-31
0.1692979507697533,0.018605393990667643,0.018481892811316496,0.018485673171074794,0.018481892811316496,False,False,2023-02-28
0.3699436931386348,0.019033303283156465,0.018915705334933683,0.01902500097057008,0.018915705334933683,False,True,2023-03-31
0.1561284273485228,0.018798367483470052,0.018688465224457187,0.018714863759334163,0.018688465224457187,False,False,2023-04-28
0.19036514886634226,0.01674598398684753,0.016661074253562443,0.016704272263023984,0.016661074253562443,False,True,2023-05-31
0.14356207198338364,0.01622870667130185,0.01613866754596397,0.01613765171550716,0.01613866754596397,False,False,2023-06-30
0.12120965404671863,0.01622713574146843,0.016137543769333094,0.01613650020843322,0.016137543769333094,False,True,2023-07-31
0.16736283083753523,0.015243448020078392,0.015173919761712134,0.015288460663043088,0.015173919761712134,False,True,2023-08-31
0.41735094067150985,0.01310793696954432,0.013070641386132852,0.013734515953564163,0.013070641386132852,False,True,2023-09-29
0.12518041448888723,0.01225284074312764,0.012218212071170449,0.012263650874655217,0.012218212071170449,False,False,2023-10-31
0.1460744399238333,0.011982864261522204,0.011939532888605943,0.011971485227661758,0.011939532888605943,False,False,2023-11-30
0.14279146229095144,0.011647181592772783,0.011588876487132117,0.011579401016494625,0.011588876487132117,False,False,2023-12-29
0.15012739126625485,0.01053366511827753,0.010497461108886063,0.010543358040639923,0.010497461108886063,False,False,2024-01-31
0.13850351542744216,0.010464330470559186,0.010413970512709904,0.0103862717326617,0.010413970512709904,False,False,2024-02-29
0.13207139325400494,0.009057461345094282,0.009020079007679134,0.009028525627816154,0.009020079007679134,False,False,2024-03-28
0.16513877888606818,0.00925434837226481,0.00922735335877006,0.009279399941683543,0.00922735335877006,False,True,2024-04-30
0.13611441993191858,0.009034654723939715,0.008999710081430296,0.008971995781499991,0.008999710081430296,False,False,2024-05-31
0.2368273343129095,0.00939243886345701,0.009367976116734717,0.009158924820613912,0.009367976116734717,True,False,2024-06-28
0.07739754299710098,0.008212154997293214,0.008187673834551355,0.008195493320541543,0.008187673834551355,False,False,2024-07-31
0.2746875595871374,0.010209119340556683,0.010141350988389034,0.0101477889344585,0.010141350988389034,True,True,2024-08-30
0.22383188092721773,0.00869878014523813,0.008636032387616382,0.008635674213838927,0.008636032387616382,False,False,2024-09-30
0.13223790560907112,0.009828120483369777,0.009751859719390629,0.009802452733149324,0.009751859719390629,False,True,2024-10-31
0.12330244155563656,0.009825019403875168,0.009747066772793224,0.009733928831339332,0.009747066772793224,False,False,2024-11-29
0.14533049188197159,0.010188989106929997,0.010114005976931073,0.01013697326977876,0.010114005976931073,True,False,2024-12-31
