,plain,rcvar_k1,diff,rel_diff
count,500.0,500.0,500.0,500.0
mean,0.040717925698588,0.040967489327121735,0.0002495636285337249,0.006104298492171967
std,0.0029922886240002834,0.0030247334299516983,6.367353349937095e-05,0.001383550900032291
min,0.031232644699353992,0.03136132485676391,0.00012275180430409288,0.0031047663703505
25%,0.03852089701544528,0.03874654556202465,0.0002015888585308115,0.005084345591049009
50%,0.040656605877920055,0.040918206826732514,0.00024433487386601657,0.0059965191496042635
75%,0.04279032602091735,0.0430756196086558,0.00028994969985884564,0.007032377691694427
max,0.050729892368002835,0.05097628124571646,0.0005163886163291956,0.012598203119758188
