date,SPY,QQQ,IWM,TLT,GLD,XLF,XLK,XLE,XLV,XLU,EFA,EEM,VNQ,DIA,HYG,LQD,USO,SLV,XBI
2020-01-31,0.005344320360023299,0.0029693078981075185,0.0055663927274320285,0.052655054377810095,0.053466218393989025,0.007029251654952773,0.0021117878333046557,0.0073765403446374445,0.005151163095536627,0.05011825294760887,0.006666062023766962,0.0057771195717965735,0.0032036378339993085,0.009232434296029726,0.41108655641253505,0.3389421383116335,0.03242028982640119,0.00027335116033572817,0.0006101209300993935
2020-02-28,0.0016312245490839208,0.0010155363567063958,0.0012709643455353537,0.03932222736664336,0.039595970943926605,0.001310281260715281,0.0005727157075813285,0.000620170023587088,0.0026294015733161645,0.01724992686979398,0.0033193715943900487,0.0022911188928401447,0.003323861548057449,0.0017380982243286114,0.4167248464357225,0.46484383006437846,0.0010681284782198613,0.000627967550956619,0.0008443582142170081
2020-03-31,0.0006233124166548348,0.0010576645811326614,0.0002669540734618365,0.25501153149547534,0.31195891618978133,0.0002441565106998045,0.0005227316293205473,6.836368537645932e-05,0.0020078440929627715,0.000842377232378987,0.0007188945189752626,0.0006508017427498058,0.0001930907701182924,0.00036425604122243907,0.41724698250151027,0.0075124034814063045,6.130802450410106e-05,0.00020775529683885474,0.00044065571543008174
2020-04-30,4.285082200854319e-05,0.0001929759398178848,7.115129711273388e-06,0.2550261689127884,0.311953988278094,7.23596758283446e-06,4.345766922430667e-05,9.60721799716845e-07,0.0004120417257216063,2.3634359489132345e-05,3.1819189358930576e-05,6.233273477984347e-05,3.4668331233378704e-06,1.806265067876981e-05,0.4319037151743632,0.00024733302997082175,2.825655730912834e-07,7.322567276734955e-06,1.5235728637678844e-05
2020-05-29,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
2020-06-30,1.7914979510911564e-05,0.010625139699048358,7.085030455009189e-07,0.27136500687464304,0.29478226242260935,5.992784017165591e-07,7.922759438478495e-05,1.6920059794251202e-08,0.01105026291100318,3.880198454934276e-05,7.3442670920716435e-06,1.047597562145242e-05,4.740396456995922e-07,2.8468523677413778e-06,0.4120143535908409,9.777645592699647e-07,6.801471697906019e-09,6.28589860357563e-07,2.950951284947975e-06
2020-07-31,9.427651536543433e-06,0.011505045554865936,2.6511806929416812e-06,0.26836052047954934,0.2975668167982358,3.184232472801939e-06,3.541792956350585e-05,1.8611575120786535e-06,0.006329677770333746,3.23149323787473e-06,3.966666230543095e-06,9.93286207279724e-06,1.0116558656055573e-06,5.189547698277015e-06,0.41615546299827805,6.839279785942479e-07,2.4961595596743952e-06,8.496621622656774e-08,3.3369680997945237e-06
2020-08-31,5.780270361566556e-05,0.004833027491872487,2.314595996863665e-06,0.304180044287239,0.22807342570161165,4.762731944497209e-06,0.00016909102848339044,5.297619488743818e-07,0.006162815508293658,1.7445437422447357e-05,2.6723233675626143e-05,4.9917343649262594e-05,1.554410313294235e-06,1.650658770036617e-05,0.45639154716862806,6.899779215190123e-07,1.2190687909771382e-06,3.818657259470596e-06,6.764303632892321e-06
2020-09-30,2.694352143538001e-05,0.0004932635222143614,3.846875783168509e-07,0.30473511112072965,0.2222432403589545,6.078089342664475e-07,5.715058387285993e-05,3.2520252615581845e-09,0.007025106680742191,0.0002505038761639947,2.9771117655877676e-05,3.587754704199814e-05,2.0697595665601972e-06,5.704109267018963e-06,0.46478138553573833,0.0001585562550103976,1.473914827714917e-08,0.00014986951289478693,4.436011025795153e-06
2020-10-30,6.035705091559937e-05,0.00020572450604913834,9.728190503129985e-06,0.3048232761989644,0.2165332198536708,1.2918405209352016e-05,6.596195203251433e-05,2.6624365217362914e-06,0.0006892473200797551,3.6675457175288705e-05,4.703750004824069e-05,6.399640195959404e-05,7.242179115399319e-06,2.771741825752989e-05,0.4771318029790881,0.0002603383365189182,2.471997427315092e-06,1.1177787027397058e-07,1.9510038593018268e-05
2020-11-30,0.0002799641976977657,0.0008099307347302808,6.097727532591613e-05,0.3227043692453233,0.17620392195714224,8.293223397900208e-05,0.0002798067876498022,1.1292280611875512e-05,0.005383842249777287,0.0003998130272463695,0.00029511958573843854,0.0005108233515928757,9.319312197757771e-05,0.00015430251568836548,0.49204239525643073,0.000557312228577467,9.419722839569412e-06,2.416659669355127e-05,9.641763097789417e-05
2020-12-31,1.9204728851516194e-05,0.00011902572635725465,2.2065223564951595e-06,0.3241560710513071,0.17466853760213055,3.379626564348659e-06,2.6476838941558003e-05,4.1683538688853074e-07,0.009055039054998677,1.6206193929270842e-05,1.8926184775477564e-05,3.921811855457534e-05,2.9077631444135194e-06,9.040427224683071e-06,0.4918439551990509,1.4072527366158796e-05,2.739332087071307e-07,2.790646332264004e-07,4.762601218287101e-06
2021-01-29,1.1873512988978034e-05,7.58425062353899e-05,7.447356509827123e-07,0.32535941201563745,0.1718400661720365,2.7191444111939432e-06,1.6660982888836194e-05,2.1263293586827915e-07,0.010808640905509195,1.2893712537451608e-05,8.653352221812683e-06,1.2473607658471168e-05,9.818685482904505e-07,4.576408754188308e-06,0.49184177389600076,1.1135108601950893e-06,2.4244791430227e-07,4.33250256727953e-11,1.1185438850826734e-06
