date,AAPL,MSFT,JNJ,V,WMT,PG,JPM,UNH,HD,MA,DIS,BAC,XOM,CVX,PFE,KO,PEP,CSCO,IBM,MRK,WFC,INTC,ORCL,AMZN,MMM,CAT,T,GE,C
2020-01-31,0.0016896159156667787,0.0018570076402575676,0.18989395204504725,0.006771348531557819,0.13840242721865803,0.03145520212671443,0.003808067082841412,0.03529281969135013,0.013821831027122282,0.0023941392392805684,0.009406513331243704,0.0005080209237983991,0.0043502188083655545,0.00800031608572046,0.028693521977835233,0.0756556093910443,0.22293483924276294,0.00046673561871726565,0.0024096687554855992,0.029039940409973455,0.0030342211603950793,0.0013501605732552252,0.002100266087317089,0.0027796460635587474,0.0028850889748540096,0.0008060046948904801,0.1783256557491597,0.0015514958864523926,0.00031566574667408744
2020-02-28,2.925632555290852e-06,3.064802471130871e-05,0.21669138090033357,2.0224901495859785e-05,0.20382968153345685,0.0010204560886920232,4.830226798298218e-05,0.00017374562964551888,0.0007662807393926918,1.3339386282163552e-05,0.00016898295991406024,5.675147090428592e-06,3.105078420919839e-05,0.00013960516354564028,0.028693471253531288,0.07533068498150632,0.22179741377474532,8.212427937409193e-06,0.00013031762508529,0.07301946767774796,0.0001182917329637071,1.125736859131949e-05,4.4630247786976224e-05,0.00014697113963139642,0.00025542943884851617,2.102597240594324e-05,0.1774579910389134,2.082032671884452e-05,1.7158342789002059e-06
2020-03-31,1.3533967741970738e-06,1.9479595056287104e-06,0.0028670368900318714,1.2088230540602092e-06,0.4731994923854036,0.0002876902261290474,2.072967130586712e-07,7.112573708534056e-07,2.6404783751080145e-06,5.48643196727132e-07,6.673965832434174e-07,3.61046109887531e-08,3.33245475952514e-07,6.870225944850764e-08,0.0021902706384457292,0.00041062022667097913,5.038241402608733e-05,6.143740803159241e-06,4.168117020994251e-06,0.383521137841535,1.0641382787975334e-07,2.630836202465936e-06,5.441228439284462e-05,0.1372440939686346,5.334696947584231e-05,3.7972800767336552e-06,9.483126300945275e-05,1.1167984808742767e-07,3.520546092168534e-09
2020-04-30,5.412937988149696e-06,6.936264037227017e-06,0.0036325034884395154,4.891755873647393e-06,0.4674779209448346,0.00023398803786287952,7.783687363869644e-07,2.144360783728962e-06,7.179635776407644e-06,2.460325119287872e-06,4.390696105068606e-06,1.9712148864192964e-07,2.3047818541214852e-06,3.1400898815747917e-07,0.0013295757353514995,0.00012154380627442975,5.376449415212408e-05,2.1079092727240412e-05,1.222601698571633e-05,0.37108104205359743,3.4144056142603294e-07,8.793817630147098e-06,0.00013811824540218372,0.15561412795012708,0.00016143419414359488,1.0377037485244318e-05,6.588805728953758e-05,2.441210676211383e-07,2.1209317003449836e-08
2020-05-29,1.6239393601541965e-07,2.2395944583855505e-07,0.004656233203303729,1.6073632133653518e-07,0.46747792383092596,0.00010193247624470017,1.5055205687958562e-08,5.673689516838051e-08,2.2315599535753253e-07,6.257404510205551e-08,1.3528117515860846e-07,2.509069334943457e-09,6.12042235180693e-08,4.977556128353214e-09,0.0002089042673192015,9.951208360013513e-06,3.0980869908236337e-06,8.488435309316892e-07,4.588389593685966e-07,0.3710936730857055,4.971769850859045e-09,2.673027651386866e-07,1.7481625773703713e-05,0.1564002922220556,2.2115627179075544e-05,3.917967475509145e-07,5.310536275899244e-06,3.3476002123812613e-09,1.4462415374536e-10
2020-06-30,1.37682832897628e-05,1.4448777320367273e-05,0.003789684000699673,1.4994814055885468e-05,0.4674779523439898,0.001996957395467826,1.4577130319077036e-06,4.682864258115542e-06,6.567517597826772e-06,4.762879863672458e-06,4.572756638227575e-06,4.1149738600768973e-07,2.8271682121267272e-06,8.591625284946014e-07,0.001534982087446282,0.00016701773946824268,0.00010516709544427633,3.733949733378188e-05,1.4107666650923894e-05,0.37126135519086506,5.067264996939567e-07,7.741655323178668e-06,0.00047833344328906393,0.15265118857895685,0.00024039498691104936,1.7090484490916618e-05,0.00015029230914723055,5.098960803693557e-07,2.5467753327880605e-08
2020-07-31,1.390667604990144e-05,1.459722460460379e-05,0.0038200024444741227,1.514182664947457e-05,0.4674779693867606,0.002057445265098322,1.4764389367403324e-06,4.7377229796156185e-06,6.645901269879384e-06,4.81616376049424e-06,4.626163189395689e-06,4.1717141727340696e-07,2.8608380933607304e-06,8.71158056211238e-07,0.0015572579173794684,0.00016892611327207574,0.00010624856748213698,3.764763361838235e-05,1.4252844111373517e-05,0.37295467945476873,5.136406781347584e-07,7.833236079279365e-06,0.00048440663921480066,0.1508304069059057,0.0002427229182155583,1.725521704242243e-05,0.0001517915733736478,5.170468509526981e-07,2.5910666996117005e-08
2020-08-31,1.3905011465571922e-06,1.3850422818856064e-06,0.00110690415808364,1.6188864676765436e-06,0.6695029047519135,0.000994107909911914,6.807196015494065e-08,2.9274120468787867e-07,4.5519370661649476e-07,3.428163254382505e-07,3.2896296741754565e-07,1.4187333592454004e-08,1.9249536003768533e-07,3.210155671752649e-08,0.0004813506174878724,1.886546192234818e-05,1.5313655129553925e-05,5.929003174518025e-06,1.367180428588222e-06,0.010439735287099246,1.7934696058530765e-08,5.136463663221863e-07,0.00017962743639154147,0.3171442566216946,7.931493930788602e-05,1.6976065438656266e-06,2.195552400509632e-05,1.6917098406133114e-08,3.484343599894757e-10
2020-09-30,7.953722154978902e-10,8.199777562145973e-07,0.00040986392325354545,9.342741250165868e-07,0.6695029503494301,0.00027561599913142706,6.291035894157757e-08,2.579781690225495e-07,2.5557998399095063e-07,2.5580707000102276e-07,1.9483702132806887e-07,2.0928334151456814e-08,1.603145964394385e-07,3.0346591447599446e-08,0.00016841586358770527,7.100229700553885e-06,5.98058243785952e-06,3.005800350977142e-06,8.822633650830723e-07,0.0016836567151363756,2.280809144306508e-08,4.2889345169016895e-07,4.699769437500805e-05,0.3278426257412839,3.725055050312784e-05,1.0088853574586473e-06,1.1181682680385482e-05,1.7164154657300813e-08,1.1043298416897658e-09
2020-10-30,5.4148580537058325e-12,1.7241721031048062e-08,2.2725730694042412e-05,1.7035045645367437e-08,0.9996270977321241,1.4444068799650096e-05,6.662223031511463e-10,3.654201121859048e-09,2.9036290358234035e-09,2.618114035470159e-09,2.2859800970335873e-09,2.305610069322054e-10,2.092379775102418e-09,2.0529366588777783e-10,4.477796403078987e-06,1.3164767611012543e-07,1.5595372365315735e-07,1.1866484692203034e-07,1.8613035651029904e-08,9.054638022458379e-05,2.0025307245438284e-10,7.079291976538897e-09,5.787238730009696e-06,0.0002302878521433289,3.5717501168048237e-06,2.0136485738260177e-08,5.599679284373234e-07,2.439638064789805e-10,4.996286987923836e-12
