date,net_return,loss,turnover,kappa,n_used,rolling_cvar_60
2020-01-02,0.0,-0.0,0.0,,0,
2020-01-03,0.0,-0.0,0.0,,0,
2020-01-06,0.0,-0.0,0.0,,0,
2020-01-07,0.0,-0.0,0.0,,0,
2020-01-08,0.0,-0.0,0.0,,0,
2020-01-09,0.0,-0.0,0.0,,0,
2020-01-10,0.0,-0.0,0.0,,0,
2020-01-13,0.0,-0.0,0.0,,0,
2020-01-14,0.0,-0.0,0.0,,0,
2020-01-15,0.0,-0.0,0.0,,0,
2020-01-16,0.0,-0.0,0.0,,0,
2020-01-17,0.0,-0.0,0.0,,0,
2020-01-21,0.0,-0.0,0.0,,0,
2020-01-22,0.0,-0.0,0.0,,0,
2020-01-23,0.0,-0.0,0.0,,0,
2020-01-24,0.0,-0.0,0.0,,0,
2020-01-27,0.0,-0.0,0.0,,0,
2020-01-28,0.0,-0.0,0.0,,0,
2020-01-29,0.0,-0.0,0.0,,0,
2020-01-30,0.0,-0.0,0.0,,0,0.0
2020-01-31,-0.014020867499457135,0.014020867499457135,1.3074242449013003,1.0,29,0.007010433749728567
2020-02-03,0.002566930768018888,-0.002566930768018888,0.0,,29,0.007010433749728567
2020-02-04,0.006161484884498274,-0.006161484884498274,0.0,,29,0.007010433749728567
2020-02-05,0.011058312062711071,-0.011058312062711071,0.0,,29,0.007010433749728567
2020-02-06,-0.0025653333803396967,0.0025653333803396967,0.0,,29,0.008293100439898416
2020-02-07,-0.0041914541951388095,0.0041914541951388095,0.0,,29,0.009106160847297972
2020-02-10,0.003532247123395911,-0.003532247123395911,0.0,,29,0.009106160847297972
2020-02-11,0.002131430779092696,-0.002131430779092696,0.0,,29,0.009106160847297972
2020-02-12,0.0034107886152471806,-0.0034107886152471806,0.0,,29,0.009106160847297972
2020-02-13,0.00019011968102751456,-0.00019011968102751456,0.0,,29,0.009106160847297972
2020-02-14,-0.0006230236703922927,0.0006230236703922927,0.0,,29,0.009106160847297972
2020-02-18,-0.0030826827564116206,0.0030826827564116206,0.0,,29,0.009106160847297972
2020-02-19,0.00025433217143973406,-0.00025433217143973406,0.0,,29,0.009106160847297972
2020-02-20,-0.0027089831988920095,0.0027089831988920095,0.0,,29,0.009106160847297972
2020-02-21,0.0035530245143209076,-0.0035530245143209076,0.0,,29,0.009106160847297972
2020-02-24,-0.024415707536332855,0.024415707536332855,0.0,,29,0.019218287517894995
2020-02-25,-0.016331175057780714,0.016331175057780714,0.0,,29,0.020373441297056784
2020-02-26,-0.007324675131251008,0.007324675131251008,0.0,,29,0.020373441297056784
2020-02-27,-0.039200267147542614,0.039200267147542614,0.0,,29,0.03180798734193774
2020-02-28,-0.02795313272826572,0.02795313272826572,0.5218867277352244,1.0,29,0.033576699937904166
2020-03-02,0.05478543849936555,-0.05478543849936555,0.0,,29,0.030523035804047065
2020-03-03,-0.020420881521164627,0.020420881521164627,0.0,,29,0.030523035804047065
2020-03-04,0.04358796129856973,-0.04358796129856973,0.0,,29,0.030523035804047065
2020-03-05,-0.021500638898809807,0.021500638898809807,0.0,,29,0.030523035804047065
2020-03-06,-0.0008577855915850936,0.0008577855915850936,0.0,,29,0.030523035804047065
2020-03-09,-0.03347973442497693,0.03347973442497693,0.0,,29,0.03354437810026176
