date,net_return,loss,turnover,kappa,n_used,rolling_cvar_60
2020-01-02,0.0,-0.0,0.0,,0,
2020-01-03,0.0,-0.0,0.0,,0,
2020-01-06,0.0,-0.0,0.0,,0,
2020-01-07,0.0,-0.0,0.0,,0,
2020-01-08,0.0,-0.0,0.0,,0,
2020-01-09,0.0,-0.0,0.0,,0,
2020-01-10,0.0,-0.0,0.0,,0,
2020-01-13,0.0,-0.0,0.0,,0,
2020-01-14,0.0,-0.0,0.0,,0,
2020-01-15,0.0,-0.0,0.0,,0,
2020-01-16,0.0,-0.0,0.0,,0,
2020-01-17,0.0,-0.0,0.0,,0,
2020-01-21,0.0,-0.0,0.0,,0,
2020-01-22,0.0,-0.0,0.0,,0,
2020-01-23,0.0,-0.0,0.0,,0,
2020-01-24,0.0,-0.0,0.0,,0,
2020-01-27,0.0,-0.0,0.0,,0,
2020-01-28,0.0,-0.0,0.0,,0,
2020-01-29,0.0,-0.0,0.0,,0,
2020-01-30,0.0,-0.0,0.0,,0,0.0
2020-01-31,-0.01267978842283032,0.01267978842283032,1.5066322842946842,1.4669744676080234,29,0.00633989421141516
2020-02-03,0.0003753231037553137,-0.0003753231037553137,0.0,,29,0.00633989421141516
2020-02-04,0.0061940869000017456,-0.0061940869000017456,0.0,,29,0.00633989421141516
2020-02-05,0.010344641050639413,-0.010344641050639413,0.0,,29,0.00633989421141516
2020-02-06,-0.002503082419503926,0.002503082419503926,0.0,,29,0.007591435421167123
2020-02-07,-0.0020676557703633884,0.0020676557703633884,0.0,,29,0.007591435421167123
2020-02-10,0.0015020358025889789,-0.0015020358025889789,0.0,,29,0.007591435421167123
2020-02-11,-0.00029906454977915735,0.00029906454977915735,0.0,,29,0.007591435421167123
2020-02-12,0.002693503980033596,-0.002693503980033596,0.0,,29,0.007591435421167123
2020-02-13,0.002720011857990027,-0.002720011857990027,0.0,,29,0.007591435421167123
2020-02-14,0.0003255843713915946,-0.0003255843713915946,0.0,,29,0.007591435421167123
2020-02-18,-0.000938660021124761,0.000938660021124761,0.0,,29,0.007591435421167123
2020-02-19,-0.0019335978521890348,0.0019335978521890348,0.0,,29,0.007591435421167123
2020-02-20,-0.00232428644842906,0.00232428644842906,0.0,,29,0.007591435421167123
2020-02-21,0.005083536332409967,-0.005083536332409967,0.0,,29,0.007591435421167123
2020-02-24,-0.021404027892038557,0.021404027892038557,0.0,,29,0.01704190815743444
2020-02-25,-0.015192722700624023,0.015192722700624023,0.0,,29,0.01829837529633129
2020-02-26,-0.005499314067552639,0.005499314067552639,0.0,,29,0.01829837529633129
2020-02-27,-0.03718681971169746,0.03718681971169746,0.0,,29,0.02929542380186801
2020-02-28,-0.027214659297233428,0.027214659297233428,0.22151130908661226,1.7488865984388164,29,0.03220073950446545
2020-03-02,0.05572201147927899,-0.05572201147927899,0.0,,29,0.028601835633656484
2020-03-03,-0.020679294328080095,0.020679294328080095,0.0,,29,0.028601835633656484
2020-03-04,0.04293979491014676,-0.04293979491014676,0.0,,29,0.028601835633656484
2020-03-05,-0.021356070896751594,0.021356070896751594,0.0,,29,0.028601835633656484
2020-03-06,-0.000394642749601922,0.000394642749601922,0.0,,29,0.028601835633656484
2020-03-09,-0.032321672207595416,0.032321672207595416,0.0,,29,0.032241050405508766
