date,net_return,loss,turnover
2020-01-02,0.0,-0.0,0.0
2020-01-03,0.0,-0.0,0.0
2020-01-06,0.0,-0.0,0.0
2020-01-07,0.0,-0.0,0.0
2020-01-08,0.0,-0.0,0.0
2020-01-09,0.0,-0.0,0.0
2020-01-10,0.0,-0.0,0.0
2020-01-13,0.0,-0.0,0.0
2020-01-14,0.0,-0.0,0.0
2020-01-15,0.0,-0.0,0.0
2020-01-16,0.0,-0.0,0.0
2020-01-17,0.0,-0.0,0.0
2020-01-21,0.0,-0.0,0.0
2020-01-22,0.0,-0.0,0.0
2020-01-23,0.0,-0.0,0.0
2020-01-24,0.0,-0.0,0.0
2020-01-27,0.0,-0.0,0.0
2020-01-28,0.0,-0.0,0.0
2020-01-29,0.0,-0.0,0.0
2020-01-30,0.0,-0.0,0.0
2020-01-31,-0.019383876864765053,0.019383876864765053,0.0
2020-02-03,0.005450989839161899,-0.005450989839161899,0.0
2020-02-04,0.013160268605853261,-0.013160268605853261,0.0
2020-02-05,0.015903928402330618,-0.015903928402330618,0.0
2020-02-06,0.0012740768350716484,-0.0012740768350716484,0.0
2020-02-07,-0.009060125333551954,0.009060125333551954,0.0
2020-02-10,0.004871308890546657,-0.004871308890546657,0.0
2020-02-11,0.0006375358289567692,-0.0006375358289567692,0.0
2020-02-12,0.007267786911371238,-0.007267786911371238,0.0
2020-02-13,-0.005231690986770656,0.005231690986770656,0.0
2020-02-14,-0.0011867496687686658,0.0011867496687686658,0.0
2020-02-18,-0.006540096542260268,0.006540096542260268,0.0
2020-02-19,0.0032166267046238204,-0.0032166267046238204,0.0
2020-02-20,-0.0028595107572325328,0.0028595107572325328,0.0
2020-02-21,-0.007153276923945007,0.007153276923945007,0.0
2020-02-24,-0.033837038034947704,0.033837038034947704,0.0
2020-02-25,-0.029482114965528064,0.029482114965528064,0.0
2020-02-26,-0.0060399479202228835,0.0060399479202228835,0.0
2020-02-27,-0.043168831486184764,0.043168831486184764,0.0
2020-02-28,-0.01130795787898465,0.01130795787898465,2.0122792321330962e-16
2020-03-02,0.04802413659750738,-0.04802413659750738,0.0
2020-03-03,-0.029258096382016197,0.029258096382016197,0.0
2020-03-04,0.04413257810678608,-0.04413257810678608,0.0
2020-03-05,-0.03142917323088693,0.03142917323088693,0.0
2020-03-06,-0.011007953873840421,0.011007953873840421,0.0
2020-03-09,-0.07797345275728174,0.07797345275728174,0.0
2020-03-10,0.0462087067018069,-0.0462087067018069,0.0
2020-03-11,-0.0562924810762879,0.0562924810762879,0.0
2020-03-12,-0.10075374381390813,0.10075374381390813,0.0
2020-03-13,0.09466361013492056,-0.09466361013492056,0.0
2020-03-16,-0.11662776434248909,0.11662776434248909,0.0
2020-03-17,0.061097620724719595,-0.061097620724719595,0.0
2020-03-18,-0.053084319990612264,0.053084319990612264,0.0
2020-03-19,0.0058563616944413924,-0.0058563616944413924,0.0
2020-03-20,-0.041524519454786725,0.041524519454786725,0.0
2020-03-23,-0.02796862033093322,0.02796862033093322,0.0
2020-03-24,0.1054435561650668,-0.1054435561650668,0.0
2020-03-25,0.020198174117718078,-0.020198174117718078,0.0
2020-03-26,0.06183318666403705,-0.06183318666403705,0.0
2020-03-27,-0.03820388843292769,0.03820388843292769,0.0
2020-03-30,0.034991509698042704,-0.034991509698042704,0.0
