method,date,turnover
C_manual_kappa,2020-11-30,0.46151435490113435
C_manual_kappa,2020-12-31,1.7535316792313522
C_manual_kappa,2021-01-29,1.8317466052297415
C_manual_kappa,2021-02-26,0.6508971443535416
C_manual_kappa,2021-03-31,0.8831470921727892
C_manual_kappa,2021-04-30,0.12571558412526787
C_manual_kappa,2021-05-28,0.23570844872027819
C_manual_kappa,2021-06-30,0.6277640158118519
C_manual_kappa,2021-07-30,1.6180249211435267
C_manual_kappa,2021-08-31,1.5741477089920481
C_manual_kappa,2021-09-30,0.9284680913504028
C_manual_kappa,2021-10-29,1.6040578782518065
C_manual_kappa,2021-11-30,1.2708314149139046
C_manual_kappa,2021-12-31,1.2708314149139046
C_manual_kappa,2022-01-31,0.0
C_manual_kappa,2022-02-28,0.0
C_manual_kappa,2022-03-31,0.0
C_manual_kappa,2022-04-29,0.0
C_manual_kappa,2022-05-31,0.0
C_manual_kappa,2022-06-30,0.0
C_manual_kappa,2022-07-29,0.0
C_manual_kappa,2022-08-31,0.0
C_manual_kappa,2022-09-30,0.0
C_manual_kappa,2022-10-31,1.29146015845134
C_manual_kappa,2022-11-30,1.29146015845134
C_manual_kappa,2022-12-30,0.0
C_manual_kappa,2023-01-31,0.0
C_manual_kappa,2023-02-28,0.0
C_manual_kappa,2023-03-31,1.5172970570404458
C_manual_kappa,2023-04-28,0.4744787801672012
C_manual_kappa,2023-05-31,1.5740934185900546
C_manual_kappa,2023-06-30,0.0
C_manual_kappa,2023-07-31,1.1927017778402016
C_manual_kappa,2023-08-31,1.1927017778402016
C_manual_kappa,2023-09-29,0.0
C_manual_kappa,2023-10-31,0.0
C_manual_kappa,2023-11-30,0.0
C_manual_kappa,2023-12-29,0.0
C_manual_kappa,2024-01-31,0.0
C_manual_kappa,2024-02-29,0.0
C_manual_kappa,2024-03-28,0.0
C_manual_kappa,2024-04-30,0.0
C_manual_kappa,2024-05-31,0.0
C_manual_kappa,2024-06-28,0.0
C_manual_kappa,2024-07-31,0.0
C_manual_kappa,2024-08-30,0.0
C_manual_kappa,2024-09-30,0.0
C_manual_kappa,2024-10-31,0.0
C_manual_kappa,2024-11-29,0.0
C_manual_kappa,2024-12-31,0.0
D_state_action,2020-01-31,0.0
D_state_action,2020-02-28,0.0
D_state_action,2020-03-31,1.8273363702315926
D_state_action,2020-04-30,1.8273363702315926
D_state_action,2020-05-29,1.8609254355811093
D_state_action,2020-06-30,0.7559255188690875
D_state_action,2020-07-31,1.9209748078139623
D_state_action,2020-08-31,1.8285380707364298
D_state_action,2020-09-30,0.8621611153862526
D_state_action,2020-10-30,1.922957349549972
D_state_action,2020-11-30,1.8285380707364298
D_state_action,2020-12-31,0.8621611153862526
D_state_action,2021-01-29,0.38737930520572755
D_state_action,2021-02-26,0.3856375239452942
D_state_action,2021-03-31,1.9199129156426218
D_state_action,2021-04-30,1.7618795731572605
D_state_action,2021-05-28,1.7618795731572605
