method,cvar_5pct,max_drawdown,sharpe_ratio,annualized_return,avg_turnover,cvar_5pct_pct,ann_return_pct,max_drawdown_pct
A_ceil_CVaR,0.0272347472431374,0.2413364223443891,0.106,0.0193956318044759,0.0182,2.72,1.94,24.1
B_fixed_kappa,0.0260115647205147,0.2230076465203925,0.307,0.0961431551974223,0.0221,2.6,9.61,22.3
C_default,0.0250315135860675,0.221944050388583,0.084,0.0143251699742465,0.0189,2.5,1.43,22.2
C_stable,0.0244194429143055,0.2275378540158239,0.229,0.0380843489830806,0.0172,2.44,3.81,22.8
