,gap_C_default,gap_C_stable
2020-03-30,0.020039493436352224,-0.0015519833935015437
2020-03-31,0.020039493436352224,-0.0015519833935015437
2020-04-01,0.020039493436352224,-0.0015519833935015437
2020-04-02,0.020039493436352224,-0.0015519833935015437
2020-04-03,0.020039493436352224,-0.0015519833935015437
2020-04-06,0.020039493436352224,-0.0015519833935015437
2020-04-07,0.020039493436352224,-0.0015519833935015437
2020-04-08,0.020039493436352224,-0.0015519833935015437
2020-04-09,0.020039493436352224,-0.0015519833935015437
2020-04-13,0.020039493436352224,-0.0015519833935015437
2020-04-14,0.020039493436352224,-0.0015519833935015437
2020-04-15,0.020039493436352224,-0.0015519833935015437
2020-04-16,0.020039493436352224,-0.0015519833935015437
2020-04-17,0.020039493436352224,-0.0015519833935015437
2020-04-20,0.020039493436352224,-0.0015519833935015437
2020-04-21,0.020039493436352224,-0.0015519833935015437
2020-04-22,0.020039493436352224,-0.0015519833935015437
2020-04-23,0.020039493436352224,-0.0015519833935015437
2020-04-24,0.020039493436352224,-0.0015519833935015437
2020-04-27,0.020039493436352224,-0.0015519833935015437
2020-04-28,0.020039493436352224,-0.0015519833935015437
2020-04-29,0.020039493436352224,-0.0015519833935015437
2020-04-30,0.020039493436352224,-0.0015519833935015437
2020-05-01,0.020039493436352224,-0.0015519833935015437
2020-05-04,0.020039493436352224,-0.0015519833935015437
2020-05-05,0.020039493436352224,-0.0015519833935015437
2020-05-06,0.020039493436352224,-0.0015519833935015437
2020-05-07,0.020039493436352224,-0.0015519833935015437
2020-05-08,0.020039493436352224,-0.0015519833935015437
2020-05-11,0.020039493436352224,-0.0015519833935015437
2020-05-12,0.020039493436352224,-0.0015519833935015437
2020-05-13,0.020039493436352224,-0.0015519833935015437
2020-05-14,0.020039493436352224,-0.0015519833935015437
2020-05-15,0.020039493436352224,-0.0015519833935015437
2020-05-18,0.020039493436352224,-0.0015519833935015437
2020-05-19,0.020039493436352224,-0.0015519833935015437
2020-05-20,0.020039493436352224,-0.0015519833935015437
2020-05-21,0.020039493436352224,-0.0015519833935015437
2020-05-22,0.020039493436352224,-0.0015519833935015437
2020-05-26,0.020039493436352224,-0.0015519833935015437
2020-05-27,0.020039493436352224,-0.0015519833935015437
2020-05-28,0.020039493436352224,-0.0015519833935015437
2020-05-29,0.020039493436352224,-0.0015519833935015437
2020-06-01,0.020039493436352224,-0.0015519833935015437
2020-06-02,0.020039493436352224,-0.0015519833935015437
2020-06-03,0.020039493436352224,-0.0015519833935015437
2020-06-04,0.011692265708531893,-0.0015519833935015437
2020-06-05,0.011692265708531893,-0.0015519833935015437
