date,Technology,Communication,Financials,Healthcare,Industrials,Consumer,Energy,Utilities,Materials,Real Estate
2020-01-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-02-28,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-03-31,0.00025916096973480285,0.3067346593246061,0.0024236366968442276,0.33111317436436233,0.012770586724573941,0.3466185492703168,4.2899552431819765e-06,2.3442050794323886e-05,4.373877138717409e-05,8.761872137086626e-06
2020-04-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-05-29,0.0002545491241222542,0.33714144573752575,0.000601694841738475,0.32771012445227776,0.025187765392689482,0.3090043013342186,1.5682847303019396e-05,4.07401334286143e-05,3.737803961293302e-05,6.31809708284621e-06
2020-06-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-07-31,6.929394738034547e-06,0.30252988938993564,4.91087972800198e-05,0.3452184936886853,0.00030970728902094465,0.3518823662158522,1.5037108714312987e-07,1.7762586837921067e-06,1.352319827025278e-06,2.2627488989504518e-07
2020-08-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-09-30,3.8861891082426074e-05,0.24661210618583138,0.0003565672411219522,0.36467461236503435,0.0021137411416926924,0.3861846755458486,8.038345983554243e-07,9.301612404415266e-06,8.115755658172748e-06,1.214426727426471e-06
2020-10-30,1.906382746720402e-06,0.23222471634275227,3.444187716630601e-05,0.3784300385306767,0.0003276740263144808,0.38898036020274823,1.698820433871927e-08,4.797899790905786e-07,3.305885024256534e-07,3.5270909706160733e-08
2020-11-30,0.0008555091972296711,0.3688737217527801,0.002582804545983309,0.36111065797257974,0.006804538559799367,0.2593002856110288,3.111267503383999e-05,0.0002462878058884335,0.0001623703925870332,3.271148708977143e-05
2020-12-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-01-29,3.8861891082426074e-05,0.24661210618583138,0.0003565672411219522,0.36467461236503435,0.0021137411416926924,0.3861846755458486,8.038345983554243e-07,9.301612404415266e-06,8.115755658172748e-06,1.214426727426471e-06
2021-02-26,3.799904358021341e-05,0.517165871195554,0.00013182034396084147,0.2759893863156271,0.00039464713629837334,0.20625986354783887,9.490279192746115e-07,1.11749731820853e-05,7.056034318523245e-06,1.2323817209995614e-06
2021-03-31,3.912645673529317e-05,0.4027014804703212,0.0002779222562476774,0.10942783355271905,0.0003657064079401777,0.48664621899352223,4.934663200079613e-06,0.0004995385454661054,2.559881351428427e-05,1.16398403338673e-05
2021-04-30,6.956061560756094e-05,0.4029262023307362,0.0009817226795326046,0.056318099685650096,0.0002923810427355119,0.5038231484866033,1.2769339042600563e-07,0.03546293514623255,0.00012344749614661384,2.374823365351413e-06
2021-05-28,4.045851049531774e-05,0.4062483920871715,4.266520881038188e-05,0.01245904731890101,0.0005265454941920193,0.48005155860108434,2.2514297368816238e-08,0.100566897133319,6.136304624037737e-05,3.0500854886316012e-06
2021-06-30,0.0012955050698540062,0.3867335595695926,0.040617703640984534,0.0713110789177746,0.10263477469286696,0.2681839371204702,0.00040640683081998236,0.11224410137937453,0.0164618241283983,0.00011110864986438134
2021-07-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-08-31,0.0028844464079550115,0.39619714031570735,0.12246065388637066,0.044949315338309634,0.15208644965053805,0.18530166381170465,0.00047547054987693226,0.09379084868812246,0.0015355363375494288,0.0003184750138656889
2021-09-30,0.0032574313893809,0.1505781883940056,0.15581025613870228,0.1895208753621393,0.14150873098200542,0.24657388398209454,0.00030502765424457267,0.09907027684401389,0.012839831660516195,0.0005354975928971948
2021-10-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-11-30,0.10980566311360919,0.17127665157219377,0.09968638575651982,0.2271651417739354,0.049184493896241785,0.20614136659122032,0.04134321902473598,0.07166611567315853,0.022224845873177752,0.001506116725207595
2021-12-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-01-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-02-28,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-03-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-04-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-05-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-06-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-07-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-08-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
