date,Technology,Communication,Financials,Healthcare,Industrials,Consumer,Energy,Utilities,Materials,Real Estate
2020-01-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-02-28,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-03-31,0.00040173744790166334,0.5787125149788636,0.002559832168324428,0.06282050398933442,0.004194192936620963,0.3510659095661911,4.117464731367954e-06,0.00014304477463438904,6.462237262733423e-05,3.352430077092509e-05
2020-04-30,1.247064210972275e-11,0.0005629714613922668,3.156362675905789e-08,0.2673141484064831,1.0383101643417915e-07,0.7321227447236442,2.859597592554013e-15,7.413241514336993e-13,4.722365657387104e-13,1.5032587960780765e-13
2020-05-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-06-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-07-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-08-31,0.00022308601517317,0.5157354327114468,0.0011076482519032718,0.06521578045505422,0.0018674629839981532,0.41573561555190813,5.213562801220076e-06,5.7775913612784826e-05,3.467640877993264e-05,1.7308145322011414e-05
2020-09-30,0.00021616121036715908,0.5748858900366498,0.0014590294000293934,0.17613367841227112,0.0024006636257366764,0.244793132449272,3.983689700435765e-06,5.7066538331249016e-05,3.292784022506001e-05,1.746679741713914e-05
2020-10-30,8.645021054172862e-05,0.5748147820957014,0.0008910321585143652,0.061005698946455564,0.0011015769707580611,0.3620597597420583,8.922436428066276e-07,2.0543830723192665e-05,1.2804720565118552e-05,6.459081039722072e-06
2020-11-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2020-12-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-01-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-02-26,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-03-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-04-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-05-28,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-06-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-07-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-08-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-09-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-10-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-11-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2021-12-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-01-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-02-28,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-03-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-04-29,0.053162777440913106,0.028170636470555444,0.06460736396155153,0.43028785975988065,0.08644279078703754,0.23634470319989354,0.03474783741509346,0.02988994196146729,0.030539076070665847,0.005807012932941615
2022-05-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-06-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-07-29,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-08-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-09-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-10-31,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-11-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
2022-12-30,0.11999999999999998,0.04,0.23000000000000007,0.15,0.11999999999999998,0.22000000000000006,0.060000000000000005,0.03,0.02,0.01
