method,sector_hhi_mean,max_sector_exposure_mean,max_sector_exposure_max,top_sector_at_max
C_manual_kappa,0.20672988981536414,0.2800120744666996,0.517165871195554,2021-02-26
B_fixed_kappa,0.19427448028572497,0.26171571938292276,0.5770267526410118,2021-03-31
Historical_CVaR,0.1887502785196323,0.26555391632591907,0.7321227447236442,2020-04-30
