,value
kappa_mean,1.4271883889312793
kappa_min,1.0136838641094958
kappa_max,1.999996846316725
kappa_std,0.34982404345478163
corr_kappa_vol,0.8187327756929776
corr_kappa_dd,0.7792094468003581
corr_kappa_mom,-0.23092352189284562
corr_kappa_corr,0.8270994217423744
kappa_2020_mean,1.8444243592583902
kappa_2022_mean,1.838859035256521
kappa_normal_mean,1.2647056944222481
pct_kappa_above_1.8,0.25119236883942764
pct_kappa_below_1.2,0.397456279809221
