universe,n_assets,avg_correlation_val,pc1_share_val,effective_dimension_val,avg_correlation_test,pc1_share_test,effective_dimension_test,cvar_A,cvar_C_stable,cvar_C_default,cvar_gap_C_minus_A,avg_turnover_C_stable
SP30,29,0.3638126856200679,0.42060011796651103,5.319844425106457,0.30705374438928884,0.45071837769168094,5.1851965427336895,0.0272347472431374,0.0244194429143055,0.0250315135860675,-0.0028153043288319003,0.0171559243641525
SP100,100,0.3348184422033171,0.36363903954898635,7.299150950425752,0.30705393888222976,0.39140075318430206,6.713332262773384,0.0246983399590989,0.0254797364563281,0.0291712878222532,0.000781396497229199,0.0156924285363484
Random30 (n=3),30,0.3060618922485624,,,0.29527257817447317,,,0.028503057,0.026323521333333332,,-0.002179535666666666,
