model,mean_tail_jaccard,mean_oos_gap,median_oos_gap,mean_hhi,mean_n_eff
A_ceil_CVaR,0.028926553672316387,-0.004613602517525912,-0.004866214023911224,0.11794913755576956,48.07414242138944
B_fixed_kappa,0.03064357651682633,-0.009955081035207555,-0.01162222603216418,0.07046330836723236,73.05648456516246
C_default,0.02866617538688283,-0.008706185400211192,-0.00724749913324914,0.07519698146902266,67.10502097299717
C_stable,0.022945222304102186,-0.002308237154057506,-0.0031725264388503607,0.07142077877112764,14.641233977760045
