corr_group,n,mean_avg_corr_val,win_rate_A,mean_delta_A_pp,median_delta_A_pp
low,3,0.27998816882407535,0.6666666666666666,0.016100679451866558,0.018719341449472543
mid,3,0.33400270553706823,0.6666666666666666,0.038536831523404425,0.06593771198766737
high,3,0.3920015873915131,1.0,0.16895958879138173,0.17396116927290428
