dataset,N,selected_kappa_max,selected_cap,selected_rho,A_CVaR,B_CVaR,C_default_CVaR,C_calibrated_CVaR,C_stable_CVaR,best_among_all
etf10,10,0.75,,0.7,0.0183832089153616,0.0196120622180584,0.0173959691641114,0.0174137541717084,0.0192216015748336,False
etf20,19,1.5,,,0.0149277063974369,0.015038764542449,0.0154541824736539,0.0162377714158057,0.0162377714158057,False
sp30,29,1.25,,0.7,0.0272347472431374,0.0260115647205147,0.0250315135860675,0.0260330958979591,0.0244194429143055,True
sp100,100,1.0,0.1,0.7,0.0246983399590989,0.0265794580262653,0.0291712878222532,0.0291712878222532,0.0254797364563281,False
