date,kappa
2020-01-02,1.1299779935708836
2020-01-03,1.1557526039317174
2020-01-06,1.147692281929614
2020-01-07,1.1200300225325865
2020-01-08,1.112406531809557
2020-01-09,1.1209066639070262
2020-01-10,1.1386908242634555
2020-01-13,1.095541538118339
2020-01-14,1.0967282331885786
2020-01-15,1.0802775825290734
2020-01-16,1.0974944830698292
2020-01-17,1.107292278508621
2020-01-21,1.1224862415692884
2020-01-22,1.1043148312698519
2020-01-23,1.1039635213982073
2020-01-24,1.1628068854939002
2020-01-27,1.340165271785349
2020-01-28,1.3183284303195288
2020-01-29,1.3338270037077145
2020-01-30,1.2944109890339965
2020-01-31,1.5662558866309244
2020-02-03,1.5497059065693821
2020-02-04,1.4979112557959742
2020-02-05,1.4414346755482579
2020-02-06,1.40771732493732
2020-02-07,1.4213563948061463
2020-02-10,1.391435611490536
2020-02-11,1.3605093498932193
2020-02-12,1.3907958334027277
2020-02-13,1.4118665485849666
2020-02-14,1.357218955780854
2020-02-18,1.3766251215884173
2020-02-19,1.3594982221754093
2020-02-20,1.3831093879801988
2020-02-21,1.4712125127293065
2020-02-24,1.9333093099995373
2020-02-25,1.9915090148539019
2020-02-26,1.9897324117667163
2020-02-27,1.999302776293097
2020-02-28,1.999208158488079
2020-03-02,1.9994710754026968
2020-03-03,1.999732332756195
2020-03-04,1.999476378743709
2020-03-05,1.9997340484509771
2020-03-06,1.9997581936890234
2020-03-09,1.999986575635154
2020-03-10,1.99996865405677
2020-03-11,1.9999770909348165
2020-03-12,1.9999946973605351
2020-03-13,1.9999915563216946
2020-03-16,1.999996846316725
2020-03-17,1.9999903428910435
2020-03-18,1.9999839300769005
2020-03-19,1.9999623788042395
2020-03-20,1.9999450708990008
2020-03-23,1.999930178672479
2020-03-24,1.9999302606644151
2020-03-25,1.9998790981857377
2020-03-26,1.999845292275684
2020-03-27,1.999830528078376
2020-03-30,1.9996158302811986
2020-03-31,1.9996095286060342
2020-04-01,1.9994397708235665
2020-04-02,1.9993821526140663
2020-04-03,1.9993542239845525
2020-04-06,1.9994111514335178
2020-04-07,1.9989485253067518
2020-04-08,1.9989396731682127
2020-04-09,1.99897600541254
2020-04-13,1.9974757578656623
2020-04-14,1.9971249491831313
2020-04-15,1.996136869370064
2020-04-16,1.9965786302530564
2020-04-17,1.9957553192992317
2020-04-20,1.9965562736531408
2020-04-21,1.9974268930937367
2020-04-22,1.9905797433660029
2020-04-23,1.989614697154045
2020-04-24,1.9785540210608783
2020-04-27,1.978274211044087
2020-04-28,1.971678310878441
2020-04-29,1.9695445643624792
2020-04-30,1.9726507293783886
2020-05-01,1.9744797914754804
2020-05-04,1.974962156843779
2020-05-05,1.9351483436191408
2020-05-06,1.9400854837292179
2020-05-07,1.9036028675209926
2020-05-08,1.8903870553749056
2020-05-11,1.8963661166633692
2020-05-12,1.891870538896955
2020-05-13,1.9086551660528164
2020-05-14,1.9075657164999171
2020-05-15,1.851162022181176
2020-05-18,1.8619657880626819
2020-05-19,1.873972161843834
2020-05-20,1.8502085893062725
2020-05-21,1.8519865043250716
2020-05-22,1.8371593975525977
2020-05-26,1.795893508448568
2020-05-27,1.7890280413104194
2020-05-28,1.7571958067371551
2020-05-29,1.7617844498086368
2020-06-01,1.744378683708334
2020-06-02,1.7347876516566982
2020-06-03,1.709721421007024
2020-06-04,1.705115820351862
2020-06-05,1.679382588361253
2020-06-08,1.6228761124398046
2020-06-09,1.6647359896627
2020-06-10,1.673331158549709
2020-06-11,1.8787713979477896
2020-06-12,1.8609489636384982
2020-06-15,1.8555499151685204
2020-06-16,1.7892924922937317
2020-06-17,1.8003984562575472
2020-06-18,1.782621701963567
2020-06-19,1.7889469616246196
2020-06-22,1.7841959204658864
2020-06-23,1.7645356553729754
2020-06-24,1.7828841258443229
2020-06-25,1.7816374332587164
2020-06-26,1.8146822215412013
2020-06-29,1.8068288573904403
2020-06-30,1.7885591936214067
2020-07-01,1.7588635776830461
2020-07-02,1.761316630134316
2020-07-06,1.695304467489981
2020-07-07,1.6851622665763835
2020-07-08,1.6937375141761446
2020-07-09,1.7290095568158899
2020-07-10,1.6105100729521937
2020-07-13,1.5804356190965778
2020-07-14,1.5548875293070874
2020-07-15,1.4925502033267828
2020-07-16,1.4988785482215463
2020-07-17,1.4900785312148845
2020-07-20,1.496361022085995
2020-07-21,1.4780219840115518
2020-07-22,1.464094344650363
2020-07-23,1.4307550931159432
2020-07-24,1.4246550739968837
2020-07-27,1.3752866669163928
2020-07-28,1.3481402265188267
2020-07-29,1.3036150729658367
2020-07-30,1.3219720494792346
2020-07-31,1.3146560656830677
2020-08-03,1.2817491009354676
2020-08-04,1.2737549268348545
2020-08-05,1.2567058230608152
2020-08-06,1.2489771439264015
2020-08-07,1.208882522808117
2020-08-10,1.2005380103350316
2020-08-11,1.1748495058981343
2020-08-12,1.1534395557242554
2020-08-13,1.1629200545600267
2020-08-14,1.1623249189422151
2020-08-17,1.1619872517850958
2020-08-18,1.1534816410802649
2020-08-19,1.1519154214390193
2020-08-20,1.1570279521950249
2020-08-21,1.1575571159329001
2020-08-24,1.1573645219321442
2020-08-25,1.1591845783818202
2020-08-26,1.1448512171031886
2020-08-27,1.138092932694447
2020-08-28,1.1351109724956214
2020-08-31,1.163113988420082
2020-09-01,1.1590544040725455
2020-09-02,1.164356512478823
2020-09-03,1.2600106424913706
2020-09-04,1.2506860448244905
2020-09-08,1.309160910780913
2020-09-09,1.3153021455985248
2020-09-10,1.3477340275703233
2020-09-11,1.3511200508341987
2020-09-14,1.3435853303816874
2020-09-15,1.3431209868358376
2020-09-16,1.3314000575520786
2020-09-17,1.343095253214185
2020-09-18,1.3657468276918063
2020-09-21,1.4072576307101319
2020-09-22,1.3643559234054192
2020-09-23,1.414637347076603
2020-09-24,1.4094675852649095
2020-09-25,1.3933398716182284
2020-09-28,1.3765170964396176
2020-09-29,1.4083988052216772
2020-09-30,1.402180073395328
2020-10-01,1.353846727638896
2020-10-02,1.3424678966771844
2020-10-05,1.3471632168665968
2020-10-06,1.3727708674003705
2020-10-07,1.335761713724347
2020-10-08,1.3177737744676348
2020-10-09,1.3008536638598516
2020-10-12,1.2676590925654319
2020-10-13,1.286308699049465
2020-10-14,1.2996644657632404
2020-10-15,1.3007097543771045
2020-10-16,1.298403122629962
2020-10-19,1.3461673638846348
2020-10-20,1.3377225104992618
2020-10-21,1.3203754789716262
2020-10-22,1.2979703860238547
2020-10-23,1.273797722729339
2020-10-26,1.309814993556099
2020-10-27,1.3448418585791542
2020-10-28,1.4336451191142228
2020-10-29,1.4213038374244082
2020-10-30,1.4310298710588178
2020-11-02,1.3773872125102098
2020-11-03,1.381825011628044
2020-11-04,1.296067620458683
2020-11-05,1.2695199699046207
2020-11-06,1.2629385313278192
2020-11-09,1.2289980803430618
2020-11-10,1.238824961313726
2020-11-11,1.2373828763688637
2020-11-12,1.2582991424080734
2020-11-13,1.2552353643785
2020-11-16,1.28000886029557
2020-11-17,1.2809377351751272
2020-11-18,1.3058333309955552
2020-11-19,1.2907384656739742
2020-11-20,1.3014591303440897
2020-11-23,1.278677112940085
2020-11-24,1.3089850489873296
2020-11-25,1.275118616315292
2020-11-27,1.2671782496362927
2020-11-30,1.2843662841489845
2020-12-01,1.2459946410556717
2020-12-02,1.2085450017361674
2020-12-03,1.2055605974483372
2020-12-04,1.1919742550040116
2020-12-07,1.2019125795947097
2020-12-08,1.1673233192083834
2020-12-09,1.166281535098439
2020-12-10,1.1743393853312505
2020-12-11,1.171694501422015
2020-12-14,1.1506393408576554
2020-12-15,1.1251839011882065
2020-12-16,1.1263249967821107
2020-12-17,1.1213542631332305
2020-12-18,1.1242661594319352
2020-12-21,1.1256141505471007
2020-12-22,1.1198418764057623
2020-12-23,1.087656619102822
2020-12-24,1.0886141304384012
2020-12-28,1.0874118976075837
2020-12-29,1.0901318604614103
2020-12-30,1.0807301186514764
2020-12-31,1.0866361582074087
2021-01-04,1.112874268577205
2021-01-05,1.0952025467157742
2021-01-06,1.106911600564976
2021-01-07,1.1112808562569227
2021-01-08,1.113023178316278
2021-01-11,1.1128071879303068
2021-01-12,1.1149552000492355
2021-01-13,1.1130802720351232
2021-01-14,1.0991699358571245
2021-01-15,1.10972057137856
2021-01-19,1.1011279039093607
2021-01-20,1.1032839382698039
2021-01-21,1.1094543209040606
2021-01-22,1.1173412477319078
2021-01-25,1.1133762783960535
2021-01-26,1.1168572708161355
2021-01-27,1.1798634087719218
2021-01-28,1.17386760842621
2021-01-29,1.2061872434053342
2021-02-01,1.1877597646043572
2021-02-02,1.1836581834108417
2021-02-03,1.1711634810172638
2021-02-04,1.1457300616156876
2021-02-05,1.134005250416248
2021-02-08,1.137749234203911
2021-02-09,1.1391327255825943
2021-02-10,1.137514156577983
2021-02-11,1.137458354398738
2021-02-12,1.1406515284511083
2021-02-16,1.1454492288691696
2021-02-17,1.142447470257334
2021-02-18,1.1395914436892283
2021-02-19,1.1398290395026927
2021-02-22,1.136885279754299
2021-02-23,1.1386189182489546
2021-02-24,1.1559976904023572
2021-02-25,1.1689464825564813
2021-02-26,1.183545138177217
2021-03-01,1.183863638905583
2021-03-02,1.18333753983425
2021-03-03,1.1649719096264686
2021-03-04,1.1858460189563804
2021-03-05,1.1848290434164421
2021-03-08,1.1736481451370488
2021-03-09,1.1526789270163222
2021-03-10,1.1645417836530296
2021-03-11,1.1665349607898436
2021-03-12,1.1751612616581724
2021-03-15,1.1746612516250203
2021-03-16,1.1803432457924323
2021-03-17,1.1770594379368284
2021-03-18,1.1949395234741873
2021-03-19,1.1966003620473997
2021-03-22,1.1898635355393146
2021-03-23,1.1973340819673335
2021-03-24,1.1768109623819174
2021-03-25,1.1686272223784637
2021-03-26,1.1914935184747926
2021-03-29,1.1368963468532927
2021-03-30,1.1405351258042646
2021-03-31,1.1482655518740805
2021-04-01,1.1395749984467498
2021-04-05,1.1006969532996167
2021-04-06,1.0978726599492523
2021-04-07,1.0972306652955512
2021-04-08,1.080389697327306
2021-04-09,1.0839301792649758
2021-04-12,1.0782556008812394
2021-04-13,1.0746103847943438
2021-04-14,1.0761485914242979
2021-04-15,1.082540895474905
2021-04-16,1.0851345398157075
2021-04-19,1.0993747502677742
2021-04-20,1.1095153841208574
2021-04-21,1.1065425446468888
2021-04-22,1.1298304386597005
2021-04-23,1.1095989609527113
2021-04-26,1.0596087411533375
2021-04-27,1.0596514548474123
2021-04-28,1.0594260475792376
2021-04-29,1.067774788652527
2021-04-30,1.075968170520259
2021-05-03,1.0623101645262798
2021-05-04,1.0644928476820952
2021-05-05,1.0640904677372167
2021-05-06,1.0798723858347181
2021-05-07,1.0814264799973248
2021-05-10,1.083627849993132
2021-05-11,1.1248559950417103
2021-05-12,1.2123814950061367
2021-05-13,1.2071497549249988
2021-05-14,1.1972457905839253
2021-05-17,1.2045076684788427
2021-05-18,1.270432426046539
2021-05-19,1.2437632286398854
2021-05-20,1.243215857737137
2021-05-21,1.2123650631722875
2021-05-24,1.2111456644386345
2021-05-25,1.221889975489309
2021-05-26,1.2255471904689008
2021-05-27,1.1915962743209463
2021-05-28,1.2012737142868708
2021-06-01,1.1645712987202834
2021-06-02,1.1714197518258187
2021-06-03,1.1652382934199694
2021-06-04,1.1487403961116236
2021-06-07,1.1286103215691283
2021-06-08,1.1441501123022224
2021-06-09,1.1457349927790925
2021-06-10,1.0994477190082514
2021-06-11,1.0569515607841922
2021-06-14,1.0355181049077824
2021-06-15,1.0360809385662102
2021-06-16,1.0410750044632109
2021-06-17,1.0542894519035115
2021-06-18,1.0965946996032248
2021-06-21,1.143449186537705
2021-06-22,1.1320460632860876
2021-06-23,1.141614921555281
2021-06-24,1.1351832309556278
2021-06-25,1.1243305137138522
2021-06-28,1.1325404484736108
2021-06-29,1.1368081913868202
2021-06-30,1.124927878625033
2021-07-01,1.1429007501019999
2021-07-02,1.1373406555535572
2021-07-06,1.176414951180007
2021-07-07,1.1718522305699508
2021-07-08,1.2545754960972544
2021-07-09,1.243439773566718
2021-07-12,1.2346773248986955
2021-07-13,1.2736554658771677
2021-07-14,1.274872899242449
2021-07-15,1.2778231464058418
2021-07-16,1.3906170029535603
2021-07-19,1.6151373371031261
2021-07-20,1.3538580098113724
2021-07-21,1.3004894425809947
2021-07-22,1.305087265048308
2021-07-23,1.2533490146679538
2021-07-26,1.1996047243025354
2021-07-27,1.2139408302617742
2021-07-28,1.231462779316359
2021-07-29,1.1938339306592198
2021-07-30,1.2017783980800156
2021-08-02,1.9201275343500377
2021-08-03,1.937530031703449
