annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_5pct,cvar_5pct,avg_turnover,total_transaction_cost,calmar_ratio,method,group,crisis_2020,crisis_2022
0.08010034405231492,0.19832371802302654,0.403886861595721,0.4903073679151007,0.3574582520400241,0.01584185839177346,0.02860140868937774,0.014856998430892552,0.0,0.22408307430358662,A_no_kappa,ablation,0.15309025725779146,0.08001617267096062
0.054648119156710306,0.18881855672562287,0.28942133709940865,0.3943278197564498,0.2559496034948784,0.016675961583668287,0.0265794580262653,0.019985753837765324,0.0,0.21351124756793705,B_fixed_kappa,ablation,0.028897124897981574,0.11076331132082973
0.02223991432857919,0.19577935513393316,0.1135968310517971,0.13792134331539635,0.3574582520400241,0.0160521071928293,0.029171287822253294,0.02334237992656446,0.0,0.06221681609434217,C_manual_kappa,ablation,0.15557244185660568,0.09368315967968532
0.006924442948398779,0.1934098331372183,0.03580191780366255,0.0435552565719541,0.3574582520400241,0.0160521071928293,0.028715568655763433,0.012944810140951165,0.0,0.019371333320410963,C_learned_kappa,ablation,0.17655257476296127,0.08605967137131021
0.04402871690198795,0.19597684290873893,0.22466285428677368,0.27843827708813507,0.3574582520400241,0.015573715087065234,0.02825495814949494,0.021614321977659497,0.0,0.12317163375223497,D_state_action,ablation,0.14390204299817044,0.0839985187213792
0.11017286138330529,0.2117186333686292,0.5203739492852302,0.6424540820750108,0.3574582520400241,0.01761098489799197,0.031109486544746538,0.0,0.0,0.3082118282472029,Equal_Weight,baseline,0.1513902396170812,0.09637596178502184
0.10995196284220099,0.21171282211192569,0.5193448452738161,0.6411659502458562,0.3574582520400241,0.01761098489799197,0.031109486544746538,0.0007949125596184419,0.0,0.3075938580651086,Buy_and_Hold,baseline,0.1513902396170812,0.09637596178502184
-0.07824646545239344,0.21379138371513096,-0.36599447598250234,-0.44728622362031695,0.39744864253349355,0.018793851641969617,0.032679762736787375,0.6176402796359108,0.0,-0.1968718900475286,Mean_Variance,baseline,0.1959731092231396,0.24156865772348002
0.0557071603617354,0.19972992138476048,0.27891244324089487,0.33053595484063536,0.3629206983287757,0.016219174302641474,0.029908011502247308,0.0,0.0,0.15349678488513593,Min_Variance,baseline,0.15567504915684238,0.09303496897130681
0.08894438109359526,0.17732622767316927,0.5015861571111129,0.6563423739047425,0.24941025247371462,0.01511806537088899,0.024633706495441547,0.0,0.0,0.356618784558462,Historical_CVaR,baseline,0.05966660733364071,0.025270091240480297
0.09405542906613773,0.2006504696245947,0.4687525986961802,0.5675524557368479,0.3509934932838684,0.016500566453584685,0.02961944700314297,0.0,0.0,0.26796915289272827,Risk_Parity,baseline,0.1444544818075224,0.07841293007764127
0.0744700244554477,0.20344106898836808,0.3660520701437407,0.442371138228486,0.3556658510462438,0.017391787627940157,0.030213008325051843,0.0,0.0,0.20938199221652315,Max_Diversification,baseline,0.15716450453278674,0.12215461555172469
