method,period,start,end,n_days,cvar_5pct,max_drawdown,total_return
Equal_Weight,covid_2020,2020-02-01,2020-04-30,62.0,0.09098265298104379,0.3574582520400241,-0.11304367811757066
Equal_Weight,volatility_2022,2022-01-01,2022-12-31,251.0,0.029537612760576506,0.21384893317391762,-0.08260451489828047
Buy_and_Hold,covid_2020,2020-02-01,2020-04-30,62.0,0.09098265298104379,0.3574582520400241,-0.11304367811757066
Buy_and_Hold,volatility_2022,2022-01-01,2022-12-31,251.0,0.029537612760576506,0.21384893317391762,-0.08260451489828047
Mean_Variance,covid_2020,2020-02-01,2020-04-30,62.0,0.09383769981807537,0.3808771629627695,-0.16958871394896935
Mean_Variance,volatility_2022,2022-01-01,2022-12-31,251.0,0.029800738421711277,0.30313233721707666,-0.23186973284493728
Min_Variance,covid_2020,2020-02-01,2020-04-30,62.0,0.09157565571681539,0.3629206983287758,-0.123137336823683
Min_Variance,volatility_2022,2022-01-01,2022-12-31,251.0,0.02566697057028809,0.22406840795558058,-0.08280420800426391
Historical_CVaR,covid_2020,2020-02-01,2020-04-30,62.0,0.07335512974732286,0.247088387320477,-0.03516746771252943
Historical_CVaR,volatility_2022,2022-01-01,2022-12-31,251.0,0.02484247875538241,0.19367435224510665,-0.033255071542981685
Risk_Parity,covid_2020,2020-02-01,2020-04-30,62.0,0.08839123989000501,0.35099349328386864,-0.10977968194468701
Risk_Parity,volatility_2022,2022-01-01,2022-12-31,251.0,0.027291827410840457,0.19969695466008408,-0.06847826921597655
Max_Diversification,covid_2020,2020-02-01,2020-04-30,62.0,0.09133693154825391,0.3556658510462444,-0.12169042403379027
Max_Diversification,volatility_2022,2022-01-01,2022-12-31,251.0,0.027171898407556384,0.23782008247864284,-0.11023409034592768
