method,date,hhi,effective_n,max_weight
A_no_kappa,2020-01-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-02-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-03-31,0.38173560062007694,2.61961419992172,0.578479053207391
A_no_kappa,2020-04-30,0.34388967759356537,2.907909324285898,0.4131744311111674
A_no_kappa,2020-05-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-06-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-07-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-08-31,0.3257316256374391,3.0700120015766177,0.5156305381324516
A_no_kappa,2020-09-30,0.38032412686061623,2.629336214492873,0.5747608888296697
A_no_kappa,2020-10-30,0.39633501022369394,2.5231180042247434,0.5747608861310572
A_no_kappa,2020-11-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-12-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-01-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-02-26,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-03-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-04-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-05-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-06-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-07-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-08-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-09-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-10-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-11-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-12-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-01-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-02-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-03-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-04-29,0.0779456980698219,12.829444405055218,0.22341309397395634
A_no_kappa,2022-05-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-06-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-07-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-08-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-09-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-10-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-11-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-12-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-01-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-02-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-03-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-04-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-05-31,0.009999999999999995,100.00000000000006,0.01
