step,x,y
0,60,50
1,60,49
2,60,48
3,60,47
4,60,46
5,60,45
6,60,44
7,61,44
8,61,43
9,61,42
10,62,42
11,62,41
12,62,40
13,62,39
14,62,38
15,62,37
16,62,36
17,62,35
18,62,34
19,62,33
20,62,32
21,62,31
22,62,30
23,62,29
24,62,28
25,62,27
26,62,26
27,62,25
28,62,24
29,62,23
30,62,22
31,62,21
32,62,20
33,62,19
34,62,18
35,62,17
36,62,16
37,62,15
38,62,14
39,61,14
40,61,13
41,61,12
42,61,11
43,61,10
44,61,9
45,61,8
46,61,7
47,61,6
48,61,5
49,61,4
50,61,3
51,60,3
52,60,2
