step,x,y
0,60,50
1,60,49
2,60,48
3,59,48
4,59,47
5,58,47
6,58,46
7,57,46
8,57,45
9,56,45
10,56,44
11,55,44
12,55,43
13,55,42
14,55,41
15,56,41
