date,net_return,loss,turnover,kappa,rolling_cvar_60
2020-01-02,0.008635852601516157,-0.008635852601516157,0.0,,
2020-01-03,-0.00701801352740933,0.00701801352740933,0.0,,
2020-01-06,0.0025919275207522494,-0.0025919275207522494,0.0,,
2020-01-07,-0.0046300924079553975,0.0046300924079553975,0.0,,
2020-01-08,0.005402238589410734,-0.005402238589410734,0.0,,
2020-01-09,0.0067577789838770465,-0.0067577789838770465,0.0,,
2020-01-10,-0.003101096128784733,0.003101096128784733,0.0,,
2020-01-13,0.0012688521853783906,-0.0012688521853783906,0.0,,
2020-01-14,0.0023678836651987297,-0.0023678836651987297,0.0,,
2020-01-15,-0.0018486665205887066,0.0018486665205887066,0.0,,
2020-01-16,0.008194028560483763,-0.008194028560483763,0.0,,
2020-01-17,0.005046041652002018,-0.005046041652002018,0.0,,
2020-01-21,-0.006530964883634057,0.006530964883634057,0.0,,
2020-01-22,0.001549022456797407,-0.001549022456797407,0.0,,
2020-01-23,-0.00088109691455421,0.00088109691455421,0.0,,
2020-01-24,-0.010784807434372552,0.010784807434372552,0.0,,
2020-01-27,-0.019061317224096694,0.019061317224096694,0.0,,
2020-01-28,0.009936860938870536,-0.009936860938870536,0.0,,
2020-01-29,-0.004724296665937853,0.004724296665937853,0.0,,
2020-01-30,0.0002061433147739931,-0.0002061433147739931,0.0,,0.019061317224096694
2020-01-31,-0.012306612034519472,0.012306612034519472,1.3580958458889043,1.0,0.015683964629308083
2020-02-03,0.0011153098544725059,-0.0011153098544725059,0.0,,0.015683964629308083
2020-02-04,0.009745241167279862,-0.009745241167279862,0.0,,0.015683964629308083
2020-02-05,0.009642612878106721,-0.009642612878106721,0.0,,0.015683964629308083
2020-02-06,-0.004638597422776123,0.004638597422776123,0.0,,0.015683964629308083
2020-02-07,-0.006517852585646277,0.006517852585646277,0.0,,0.015683964629308083
2020-02-10,0.0029534835261246445,-0.0029534835261246445,0.0,,0.015683964629308083
2020-02-11,0.003799000426357609,-0.003799000426357609,0.0,,0.015683964629308083
2020-02-12,0.001672169535723802,-0.001672169535723802,0.0,,0.015683964629308083
2020-02-13,-0.004804518647686928,0.004804518647686928,0.0,,0.015683964629308083
2020-02-14,-0.0003884958782992505,0.0003884958782992505,0.0,,0.015683964629308083
2020-02-18,-0.005633553000917958,0.005633553000917958,0.0,,0.015683964629308083
2020-02-19,0.004403109700275485,-0.004403109700275485,0.0,,0.015683964629308083
2020-02-20,-0.00703628289480143,0.00703628289480143,0.0,,0.015683964629308083
2020-02-21,-0.00019378993422044106,0.00019378993422044106,0.0,,0.015683964629308083
2020-02-24,-0.02715337882462634,0.02715337882462634,0.0,,0.023107348024361516
2020-02-25,-0.022930085071938354,0.022930085071938354,0.0,,0.025041731948282346
2020-02-26,-0.0027135601317556054,0.0027135601317556054,0.0,,0.025041731948282346
2020-02-27,-0.040990237194242024,0.040990237194242024,0.0,,0.034071808009434185
2020-02-28,-0.026854058196548805,0.026854058196548805,0.5137476414663551,1.0,0.034071808009434185
2020-03-02,0.044093700830593996,-0.044093700830593996,0.0,,0.031665891405139056
2020-03-03,-0.019770571877511346,0.019770571877511346,0.0,,0.031665891405139056
2020-03-04,0.04847184058085528,-0.04847184058085528,0.0,,0.031665891405139056
2020-03-05,-0.027434679252843545,0.027434679252843545,0.0,,0.0318594317572373
2020-03-06,-0.006999967794925913,0.006999967794925913,0.0,,0.0318594317572373
2020-03-09,-0.055835786755739476,0.055835786755739476,0.0,,0.041420234400941676
2020-03-10,0.03426347542983417,-0.03426347542983417,0.0,,0.041420234400941676
2020-03-11,-0.05064992856023774,0.05064992856023774,0.0,,0.04915865083673975
2020-03-12,-0.06918808066236162,0.06918808066236162,0.0,,0.05855793199277961
2020-03-13,0.062067778722502256,-0.062067778722502256,0.0,,0.05855793199277961
2020-03-16,-0.09101200258918413,0.09101200258918413,0.0,,0.07201195666909507
2020-03-17,0.04164612804520858,-0.04164612804520858,0.0,,0.07201195666909507
2020-03-18,-0.042889498550657414,0.042889498550657414,0.0,,0.07201195666909507
2020-03-19,-0.01686704762122789,0.01686704762122789,0.0,,0.07201195666909507
2020-03-20,-0.07794108816966111,0.07794108816966111,0.0,,0.07938039047373562
2020-03-23,-0.03352098304845852,0.03352098304845852,0.0,,0.07938039047373562
2020-03-24,0.11257703514600809,-0.11257703514600809,0.0,,0.07938039047373562
2020-03-25,0.01462376433241269,-0.01462376433241269,0.0,,0.07938039047373562
2020-03-26,0.06008402149975418,-0.06008402149975418,0.0,,0.07938039047373562
2020-03-27,-0.04068320064603527,0.04068320064603527,0.0,,0.07938039047373562
2020-03-30,0.03991907882209672,-0.03991907882209672,0.0,,0.07938039047373562
2020-03-31,-0.015877925618486215,0.015877925618486215,1.8174944774031705,1.0,0.07938039047373562
2020-04-01,-0.016550178808204266,0.016550178808204266,0.0,,0.07938039047373562
2020-04-02,0.0267956997814177,-0.0267956997814177,0.0,,0.07938039047373562
2020-04-03,-0.013046316908569605,0.013046316908569605,0.0,,0.07938039047373562
2020-04-06,0.05450066027814545,-0.05450066027814545,0.0,,0.07938039047373562
2020-04-07,-0.014985381810207024,0.014985381810207024,0.0,,0.07938039047373562
2020-04-08,0.029070128217580544,-0.029070128217580544,0.0,,0.07938039047373562
2020-04-09,-0.004301849513056916,0.004301849513056916,0.0,,0.07938039047373562
2020-04-13,-0.008933393434567467,0.008933393434567467,0.0,,0.07938039047373562
2020-04-14,0.036198876496599273,-0.036198876496599273,0.0,,0.07938039047373562
2020-04-15,-0.01243076220625885,0.01243076220625885,0.0,,0.07938039047373562
2020-04-16,0.026384708518481695,-0.026384708518481695,0.0,,0.07938039047373562
2020-04-17,0.0015925085134777814,-0.0015925085134777814,0.0,,0.07938039047373562
2020-04-20,-0.011722201194791,0.011722201194791,0.0,,0.07938039047373562
2020-04-21,-0.037266932570157875,0.037266932570157875,0.0,,0.07938039047373562
2020-04-22,0.014078372926882705,-0.014078372926882705,0.0,,0.07938039047373562
2020-04-23,0.002672958462045977,-0.002672958462045977,0.0,,0.07938039047373562
2020-04-24,0.01068129073853467,-0.01068129073853467,0.0,,0.07938039047373562
2020-04-27,0.010706922433270842,-0.010706922433270842,0.0,,0.07938039047373562
2020-04-28,-0.02919116886696769,0.02919116886696769,0.0,,0.07938039047373562
2020-04-29,-0.0009638029830766287,0.0009638029830766287,0.0,,0.07938039047373562
2020-04-30,-0.011188748665438362,0.011188748665438362,0.42416232019454553,1.0,0.07938039047373562
2020-05-01,-0.010583868571764393,0.010583868571764393,0.0,,0.07938039047373562
2020-05-04,0.003239469175259191,-0.003239469175259191,0.0,,0.07938039047373562
2020-05-05,0.018229676415459365,-0.018229676415459365,0.0,,0.07938039047373562
2020-05-06,-0.0032896974827160666,0.0032896974827160666,0.0,,0.07938039047373562
2020-05-07,-0.00923892214019285,0.00923892214019285,0.0,,0.07938039047373562
2020-05-08,0.007718968401673775,-0.007718968401673775,0.0,,0.07938039047373562
2020-05-11,0.011188377257002648,-0.011188377257002648,0.0,,0.07938039047373562
2020-05-12,-0.01615774328925918,0.01615774328925918,0.0,,0.07938039047373562
2020-05-13,-0.004080058418194754,0.004080058418194754,0.0,,0.07938039047373562
2020-05-14,0.0007668738318043079,-0.0007668738318043079,0.0,,0.07938039047373562
2020-05-15,-0.000784915717618739,0.000784915717618739,0.0,,0.07938039047373562
2020-05-18,0.012817397250757236,-0.012817397250757236,0.0,,0.07938039047373562
2020-05-19,-0.0011899104716598516,0.0011899104716598516,0.0,,0.07938039047373562
2020-05-20,0.0030680334254331826,-0.0030680334254331826,0.0,,0.07938039047373562
2020-05-21,-0.008499698812397542,0.008499698812397542,0.0,,0.07938039047373562
2020-05-22,0.00015577404522922582,-0.00015577404522922582,0.0,,0.07938039047373562
2020-05-26,0.0028630657427286144,-0.0028630657427286144,0.0,,0.07938039047373562
2020-05-27,0.006968027869184375,-0.006968027869184375,0.0,,0.07938039047373562
2020-05-28,0.01561081810748604,-0.01561081810748604,0.0,,0.07938039047373562
2020-05-29,0.004689655367429463,-0.004689655367429463,0.354021693284572,1.0,0.07938039047373562
2020-06-01,-0.004092327469522513,0.004092327469522513,0.0,,0.07938039047373562
2020-06-02,0.005011405270396548,-0.005011405270396548,0.0,,0.07938039047373562
2020-06-03,0.0016411974923936918,-0.0016411974923936918,0.0,,0.07938039047373562
2020-06-04,0.006542234825402556,-0.006542234825402556,0.0,,0.07938039047373562
2020-06-05,0.00941895445386457,-0.00941895445386457,0.0,,0.07938039047373562
2020-06-08,-0.0015662089464487973,0.0015662089464487973,0.0,,0.07061419643650088
2020-06-09,-0.007592453939425391,0.007592453939425391,0.0,,0.07061419643650088
2020-06-10,0.0013393848760387284,-0.0013393848760387284,0.0,,0.05383792912211793
