annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_5pct,cvar_5pct,avg_turnover,total_transaction_cost,calmar_ratio,method,group,crisis_2020,crisis_2022,corr_group,avg_corr_val
0.10351456468833131,0.29811941568195416,0.3472251696573994,0.6745199659446833,0.28970943899708157,0.014904260313564054,0.027006028087995872,0.012087450585054943,0.0,0.35730477076162537,C_stable,v7,0.05405586226646952,0.15552920399874048,low,0.2725064294251852
0.09138640426469613,0.21314359378991965,0.42875510654460086,0.6271555800881966,0.2640391090784514,0.016391364098403572,0.02709832543147929,0.026534740675520117,0.0,0.34610934942044275,V7_effdim,v7,0.05524590776646876,0.08927569002661095,low,0.2725064294251852
0.0877709460607623,0.25424892380789926,0.3452165883190863,0.5700969087969237,0.291090923360958,0.014527905357808232,0.027144709958881037,0.011660290956819188,0.0,0.3015241596933091,V7_effdim_cap,v7,0.06410328115873187,0.12932769688729784,low,0.2725064294251852
0.04690752825068745,0.21540946401051306,0.21775982994135357,0.2879678304464285,0.2729368033874614,0.01545356543804871,0.028282232219325153,0.02546875210424023,0.0,0.1718622320936963,A_ceil_CVaR,v7,0.0690964465482733,0.14443225526219483,low,0.2725064294251852
0.018615885983017222,0.18566625657386723,0.10026531652298866,0.12568995776456784,0.330834344200995,0.01603722339772685,0.027422482123728106,0.012626832211775085,0.0,0.05626950862062656,C_stable,v7,0.11003313303678786,0.02290581141645176,low,0.2833736103902859
0.03199006178178698,0.19288686803468486,0.16584883205234344,0.21060135693626283,0.3348291845521082,0.016519852922432344,0.027734593872828207,0.025564069779206312,0.0,0.09554143801586236,V7_effdim,v7,0.07019832413147331,0.05573653153680025,low,0.2833736103902859
0.013950700490266588,0.18188391145944652,0.076701124240871,0.09594413472816395,0.3310810215197414,0.015509748428335662,0.02687001842679189,0.01170628357439439,0.0,0.042136817224465245,V7_effdim_cap,v7,0.10450594769893962,0.03495922214155678,low,0.2833736103902859
0.023266066743662606,0.1865891700286176,0.12469141022543932,0.16063740574894808,0.33551573885056385,0.015932295759635087,0.02644210496146015,0.02451956140345487,0.0,0.06934418881024575,A_ceil_CVaR,v7,0.040192603746531,0.025993533697541427,low,0.2833736103902859
0.08059352716897861,0.2216430698586313,0.3636185296494173,0.5208267409449263,0.35324615382756885,0.016033096999487337,0.028310571550230007,0.02340545973896556,0.0,0.22815118097030712,C_stable,v7,0.14697927450944526,0.010242852695916072,low,0.2840844666567549
0.09961387414649137,0.22479006901728976,0.4431417926155339,0.6317132367903843,0.3537375878805086,0.015868326774394096,0.028810515112699362,0.02017821518596697,0.0,0.2816038712293719,V7_effdim,v7,0.1286806447880623,0.048627805837105575,low,0.2840844666567549
0.09961387414649137,0.22479006901728976,0.4431417926155339,0.6317132367903843,0.3537375878805086,0.015868326774394096,0.028810515112699362,0.02017821518596697,0.0,0.2816038712293719,V7_effdim_cap,v7,0.1286806447880623,0.048627805837105575,low,0.2840844666567549
0.08960593123036364,0.22018877812875434,0.4069504903559027,0.5689666476147521,0.3539303428191176,0.015485591425273861,0.028497764964724732,0.027315794326621214,0.0,0.2531739169821852,A_ceil_CVaR,v7,0.16158452994965178,0.04459670130193283,low,0.2840844666567549
0.07179006345805816,0.18769341853095614,0.38248577930940014,0.4582117971026006,0.28760713613686806,0.015570633146483019,0.027943546269356693,0.009270957828009038,0.0,0.24961155144597774,C_stable,v7,0.1113504873908241,0.0204530113329906,mid,0.3339391250910632
0.07414103724218091,0.18912645201426803,0.39201833721592566,0.5020043434212567,0.25489396438152145,0.01644006922901593,0.02685300795388852,0.024289939124716105,0.0,0.2908701169997408,V7_effdim,v7,0.12279906252847761,0.05985676782310134,mid,0.3339391250910632
0.05030754428478046,0.1853140791763842,0.2714717872941382,0.322363178757744,0.29417354467781387,0.015376514437087823,0.02776841856891195,0.008778005809710637,0.0,0.1710131491935433,V7_effdim_cap,v7,0.1296855066493252,0.030532839722652527,mid,0.3339391250910632
0.04706150455539704,0.18754919843014983,0.25092884933296294,0.3125460565556548,0.2377303248304361,0.015566791551118056,0.027180005512576287,0.02699198428850784,0.0,0.19796172233796508,A_ceil_CVaR,v7,0.10453339538598694,0.05099861511103443,mid,0.3339391250910632
0.07473347612719405,0.1770210092400464,0.42217291861585177,0.5040242559904775,0.25607939021291903,0.01476527449091728,0.026399329859990824,0.009640359819923339,0.0,0.2918371371669402,C_stable,v7,0.06938731076713944,0.0337201022353788,mid,0.333969314097956
0.10288255513923272,0.18233153653891893,0.5642608903110532,0.715443961095958,0.2559898502772787,0.01582786321704946,0.02644116620019131,0.029487125191324973,0.0,0.4019009153206432,V7_effdim,v7,0.07571237695177069,0.04820524246093538,mid,0.333969314097956
0.06169114438874135,0.17683714541900636,0.3488585174939768,0.42006194543159037,0.25621527339905004,0.014859477291753076,0.026155884971403733,0.009000409206333763,0.0,0.24077855925731115,V7_effdim_cap,v7,0.070181732721045,0.03244908290295123,mid,0.333969314097956
0.03871430184483349,0.18191977279129837,0.2128097526223674,0.25858199028807427,0.2576783619107883,0.015597675867980871,0.027058706979867498,0.024857548631853597,0.0,0.15024273500402371,A_ceil_CVaR,v7,0.06497642968676998,0.04628310650572365,mid,0.333969314097956
0.024569331220215096,0.18575176259713388,0.13226970703638533,0.16586051181229408,0.34252892845730554,0.015341205844592535,0.027405904643337486,0.010190680139258492,0.0,0.07172921519613354,C_stable,v7,0.0692312984974709,0.023587444640991162,mid,0.3340996774221855
-0.023584824530860304,0.20767915985676583,-0.11356375164039817,-0.13598662325713076,0.3942647256741292,0.017345025817307586,0.03132499397089923,0.021927950902608465,0.0,-0.05981976828014236,V7_effdim,v7,0.16339140694576426,0.07382267155254063,mid,0.3340996774221855
0.008686088033753592,0.18441856111912883,0.04709985795921399,0.05794370943784666,0.3635779836454621,0.01556576256950877,0.02728641199665803,0.009261338198730016,0.0,0.02389057760500621,V7_effdim_cap,v7,0.1210390050166622,0.027275412714637737,mid,0.3340996774221855
-0.005647903204407001,0.1966317262682928,-0.028723254947682034,-0.03671889181019246,0.3659615015697758,0.017093936056327728,0.02866617322594335,0.023101385297559437,0.0,-0.015433052876274056,A_ceil_CVaR,v7,0.10884522945008812,0.08481088211962329,mid,0.3340996774221855
0.07106743425881423,0.18175827652765228,0.39099971465674743,0.47586189161756615,0.3248140576598313,0.014631811970959712,0.027148393416569133,0.010218091375278068,0.0,0.21879420727917256,C_stable,v7,0.13972446679141948,0.04791134813326692,high,0.3910495935197156
0.038866902449160357,0.1880807184542561,0.20665011686784543,0.26145458917183145,0.33937028708896266,0.015733780252166294,0.027489543624252273,0.021886586079100573,0.0,0.11452653319343709,V7_effdim,v7,0.16624707563611085,0.11318977268517227,high,0.3910495935197156
0.0681542218309934,0.18265318368332076,0.3731345956124005,0.4492552427669924,0.32101708760566283,0.014809917927482924,0.02720235471467342,0.008787544822157389,0.0,0.2123071464492071,V7_effdim_cap,v7,0.14614238923753153,0.04124972685146233,high,0.3910495935197156
