annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_5pct,cvar_5pct,avg_turnover,total_transaction_cost,calmar_ratio,method,group,crisis_2020,crisis_2022,dataset
0.0019872319181002407,0.18516996021364876,0.010731934682101655,0.013050152807377167,0.26653372917003415,0.01628748141420844,0.027637821020831486,0.02090493608017273,0.0,0.007455836543796278,A_ceil_CVaR,v7,0.06882476159467377,0.1357863641282162,sp30
0.1149408942694099,0.38440533222830797,0.29900962508278534,0.6984162617133239,0.33769553765899085,0.016542896758374934,0.03028606628876688,0.029686895998047993,0.0,0.34036841311619176,B_fixed_kappa,v7,0.1551823052648722,0.13229882849625574,sp30
0.010567150172731354,0.17606172054932864,0.06001957801934958,0.07597421157561121,0.26638469398661735,0.015958556717013576,0.027026512770452905,0.026414592322521368,0.0,0.039668758796112466,C_default,v7,0.0700655022134733,0.10884148924892512,sp30
0.06794658051236091,0.21486955240523462,0.31622246964156475,0.4584084321449987,0.2590753440238768,0.014661208895706287,0.026146167055688358,0.011933729701696648,0.0,0.2622657156680215,C_stable,v7,0.05601360355962004,0.05039360647271496,sp30
0.03137852125084373,0.1952631003581601,0.16069867370377647,0.1894675929389445,0.305028966605966,0.015525891029124135,0.029125157020789223,0.025804733044376315,0.0,0.10287062766526778,V7_effdim,v7,0.11664604215076657,0.062201959471330115,sp30
0.017932280479350693,0.17010222066893912,0.10542061361004412,0.12415587152619346,0.25745537869077373,0.014630645920159951,0.025725840738037253,0.010032403414218776,0.0,0.06965199395149914,V7_effdim_cap,v7,0.055582551778919465,0.04656094501195018,sp30
0.07840338171820282,0.1775245495880184,0.44164810951585975,0.5781363900814059,0.25122869273933723,0.01512719254853678,0.02469833995909896,0.03847134090531667,0.0,0.31207972649664817,A_ceil_CVaR,v7,0.06168661555668031,0.03726301230987494,sp100
0.054648119156710306,0.18881855672562287,0.28942133709940865,0.3943278197564498,0.2559496034948784,0.016675961583668287,0.0265794580262653,0.019985753837765324,0.0,0.21351124756793705,B_fixed_kappa,v7,0.028897124897981574,0.11076331132082973,sp100
0.02223991432857919,0.19577935513393316,0.1135968310517971,0.13792134331539635,0.3574582520400241,0.0160521071928293,0.029171287822253294,0.02334237992656446,0.0,0.06221681609434217,C_default,v7,0.15557244185660568,0.09368315967968532,sp100
0.005531277597740747,0.17662331232127215,0.03131680368262786,0.039962126433050596,0.2685489039371648,0.0140232610035462,0.02506305886886854,0.016488312285881917,0.0,0.02059690997299679,C_stable,v7,0.04927640696417335,0.03580728204006356,sp100
0.0035429729659368636,0.1961850715185923,0.01805934028778076,0.022367902142417993,0.3574582520400241,0.016418366453757337,0.028644688423557767,0.02387601627527944,0.0,0.009911571339357866,V7_effdim,v7,0.19148496006993643,0.10031998097390848,sp100
0.004637951015659558,0.17134786842396812,0.027067456737680677,0.0331778435668297,0.26886426608636393,0.014176465237017873,0.025229453610731728,0.01570876770392717,0.0,0.017250157795866285,V7_effdim_cap,v7,0.04523483436762188,0.04728369537536037,sp100
