date,net_return,loss,turnover,kappa,n_used,rolling_cvar_60
2020-01-02,0.0,-0.0,0.0,,0,
2020-01-03,0.0,-0.0,0.0,,0,
2020-01-06,0.0,-0.0,0.0,,0,
2020-01-07,0.0,-0.0,0.0,,0,
2020-01-08,0.0,-0.0,0.0,,0,
2020-01-09,0.0,-0.0,0.0,,0,
2020-01-10,0.0,-0.0,0.0,,0,
2020-01-13,0.0,-0.0,0.0,,0,
2020-01-14,0.0,-0.0,0.0,,0,
2020-01-15,0.0,-0.0,0.0,,0,
2020-01-16,0.0,-0.0,0.0,,0,
2020-01-17,0.0,-0.0,0.0,,0,
2020-01-21,0.0,-0.0,0.0,,0,
2020-01-22,0.0,-0.0,0.0,,0,
2020-01-23,0.0,-0.0,0.0,,0,
2020-01-24,0.0,-0.0,0.0,,0,
2020-01-27,0.0,-0.0,0.0,,0,
2020-01-28,0.0,-0.0,0.0,,0,
2020-01-29,0.0,-0.0,0.0,,0,
2020-01-30,0.0,-0.0,0.0,,0,0.0
2020-01-31,-0.01948644808762477,0.01948644808762477,0.0,1.4052959441083444,103,0.009743224043812384
2020-02-03,0.014489271638401795,-0.014489271638401795,0.0,,103,0.009743224043812384
2020-02-04,0.0242042635334774,-0.0242042635334774,0.0,,103,0.009743224043812384
2020-02-05,0.008127063898760858,-0.008127063898760858,0.0,,103,0.009743224043812384
2020-02-06,0.004912477080198343,-0.004912477080198343,0.0,,103,0.009743224043812384
2020-02-07,-0.010952523596060054,0.010952523596060054,0.0,,103,0.015219485841842411
2020-02-10,0.007469655791097999,-0.007469655791097999,0.0,,103,0.015219485841842411
2020-02-11,0.008203953414513365,-0.008203953414513365,0.0,,103,0.015219485841842411
2020-02-12,0.01201279234982458,-0.01201279234982458,0.0,,103,0.015219485841842411
2020-02-13,-0.0018411981867053843,0.0018411981867053843,0.0,,103,0.015219485841842411
2020-02-14,0.001281645741319268,-0.001281645741319268,0.0,,103,0.015219485841842411
2020-02-18,-0.001690357625672028,0.001690357625672028,0.0,,103,0.015219485841842411
2020-02-19,0.010923015917136751,-0.010923015917136751,0.0,,103,0.015219485841842411
2020-02-20,-0.007865618701951049,0.007865618701951049,0.0,,103,0.015219485841842411
2020-02-21,-0.015008375684991975,0.015008375684991975,0.0,,103,0.01724741188630837
2020-02-24,-0.0342983629604874,0.0342983629604874,0.0,,103,0.026892405524056084
2020-02-25,-0.029067413089636313,0.029067413089636313,0.0,,103,0.031682888025061855
2020-02-26,-0.0023288654271929766,0.0023288654271929766,0.0,,103,0.031682888025061855
2020-02-27,-0.04090852797180752,0.04090852797180752,0.0,,103,0.03760344546614746
2020-02-28,-0.029275901120357852,0.029275901120357852,1.867844871359801,1.7442628301078735,103,0.03760344546614746
2020-03-02,0.031541798138058706,-0.031541798138058706,0.0,,103,0.03482759735088426
2020-03-03,-0.009114705087245992,0.009114705087245992,0.0,,103,0.03482759735088426
2020-03-04,0.051541996434365175,-0.051541996434365175,0.0,,103,0.03482759735088426
2020-03-05,-0.018117013688651536,0.018117013688651536,0.0,,103,0.03482759735088426
2020-03-06,-0.006211486405846387,0.006211486405846387,0.0,,103,0.03482759735088426
2020-03-09,-0.05342724156946326,0.05342724156946326,0.0,,103,0.04287804416725274
