date,kappa,turnover,n_used,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CDW,CERN,CHKP,CHTR,CMCSA,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTSH,CTXS,DLTR,EA,EBAY,ENDP,EXPE,FAST,FISV,FOX,FOXA,GILD,GOOG,GOOGL,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,NFLX,NTAP,NTES,NVDA,NWSA,NXPI,ORLY,PAYX,PCAR,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TCOM,TMUS,TSLA,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDAY,WDC,WLTW,XEL,XLNX,DXCM,ZM,DOCU,EXC,MRNA,PDD,MRVL,MTCH,OKTA,PTON,TEAM,AEP,KDP,CRWD,ABNB,DDOG,FTNT,ZS,ODFL,AZN,HON,LCID,PANW,CEG,ENPH,BKR,FANG,GFS,RIVN,WBD,META,ON,TTD,GEHC,CCEP,MDB,LIN,ROP,ARM,DASH,SMCI,APP,AXON,MSTR,PLTR
2020-01-31,1.4052959441083444,1.766201433999098,103,9.164086861172996e-05,8.936238300031166e-05,0.000356166346245114,5.602428699538843e-05,0.001320543512235327,0.00025516410198913973,0.00011705877269672089,0.0001281452081089651,6.760330592137732e-05,1.121113338441593e-05,0.0021623579884866573,0.0004461971567087699,0.00018463709855555312,0.00013645532743597453,3.209878033079156e-05,5.674022080840325e-05,5.795115462732528e-05,0.0007937855767659934,0.00044864117863410155,0.000575543442142925,6.914702104370453e-05,0.00010414844996548217,0.000768685200582234,0.0007815524806707588,0.33674956602266465,0.0010331547747232564,0.0056940966641987,0.06200070030251712,0.00016018093530983875,0.0008137709509207946,0.000851972967946907,0.0002620305297761041,0.003940013412684504,0.08599164833657875,0.002398633397007556,0.0004082609807179543,0.0008596182616375211,4.414850514638949e-06,0.0027477664939224763,5.537397256089238e-07,0.0004895455733502072,0.0011976990072230347,0.001308761167085235,0.00032806842965568206,0.00047351268942812477,0.00047926385136401966,0.0003944056423002873,0.00021820446564562444,0.0006020052177229642,0.0004020353866673785,0.0005266664798935461,9.070719917080556e-05,4.21407974767739e-05,0.06213299073136808,3.88999223200455e-05,0.0007897548229337838,0.0008214910618342228,6.477897759224067e-05,0.0004976460827654877,0.0002803197348805207,3.6347326761204e-05,0.0014129565554203763,0.0002489714147726287,0.0008468681061900428,0.0003518695732888586,2.1456814803687896e-05,0.00010614673118799857,0.00019124875361152974,4.711387916622785e-05,0.0008377987153504794,1.4188325738355059e-05,0.00023172937764628357,3.8886235723610295e-05,0.009183108488684252,0.0005964786122567517,0.0003216072125093147,0.0015043611352627763,0.00031753779409945265,0.00016223579064416138,0.0002580925653150041,0.0005899486078867829,0.0025942480970085743,0.00026528034144461407,0.0005054828039045811,0.0002572446976961131,8.92128305855634e-05,4.2005846171820365e-05,3.884416745991919e-05,0.0017834371139497291,0.00018513036867334067,0.00036646664368136,0.0002026877082800397,0.00025748873917693884,0.00023238116782870776,0.0023703187137279146,0.00035585890457307423,0.0022825561702406274,0.0004159080453982566,0.00018605366168157728,2.3756882191257976e-05,0.00111591676531318,0.3847695009268088,0.00013512653041255953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,1.7442628301078735,1.766201433999098,103,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,1.74898418994697,1.8803068955593314,103,6.549083654683637e-08,6.943359907430722e-07,2.310055070023815e-07,3.459845247035413e-08,1.4625304690560153e-07,1.2260788534905536e-07,2.2841166485481654e-08,4.685520437602109e-05,2.9181896527353255e-09,3.289785551099282e-07,2.0299568001100506e-05,7.887510404515801e-05,7.622433651247509e-07,5.19512023193193e-08,4.5988663570775816e-05,9.773121455457646e-09,2.080334746887016e-06,8.651270435465761e-06,2.2199937493617626e-07,7.510940384388914e-07,7.953525470944209e-07,8.40115691274412e-08,0.07591751830923453,0.02293054350263824,4.041990593678442e-06,2.702920442103264e-06,0.03367792088604078,1.7412688800036127e-06,4.607696342974329e-06,1.9339555529997592e-05,7.502551252329145e-08,1.4584307356162019e-08,4.2311540266597165e-07,0.5128214808207973,5.5009860949854145e-06,8.768834937487006e-06,0.0006985580388954402,1.236810199420036e-09,3.140966320955548e-09,6.580154928647453e-06,2.654785882756561e-07,4.2981997744735816e-07,6.331088408010288e-07,0.028113409385070315,1.88393790207896e-06,1.5625016694974424e-06,0.00018719711232290922,2.327041782559489e-06,0.3249450020603504,6.83115316334601e-08,4.101033468157454e-07,6.285745627690325e-07,4.211760943181125e-05,3.5259508005735205e-06,1.307519320115158e-07,9.288323816327183e-06,6.756510858420077e-06,7.1044436024618874e-09,4.8968056548738486e-08,2.607285560591216e-06,4.003637448519059e-09,4.3004728126335914e-06,8.348810846193447e-08,3.982170026734323e-06,3.9060701404053105e-07,3.311609040282026e-08,3.038877923422061e-07,2.4215318195378365e-05,4.815889375313639e-06,1.3698252573244776e-06,8.81857324892512e-08,8.216912673996454e-07,7.754791468497177e-09,4.32125302856009e-07,3.780869580961995e-07,3.574868373308103e-05,1.593094574175803e-06,2.910528359961942e-07,1.0866956601646744e-07,1.2524669333391029e-05,4.717500552780754e-08,2.56961759911457e-07,2.3050772591633357e-05,1.2510174542397263e-07,1.336634705187444e-06,9.686333281517682e-08,3.8735440768342664e-08,2.4116503253231145e-06,2.543814187572622e-06,3.997325310104939e-09,6.095372565260137e-05,5.542957226248676e-07,9.033432049593847e-10,5.498140322779637e-09,5.50622939586676e-07,2.0908215784113845e-06,1.631720115165846e-05,0.00015465546869360063,3.953938488915126e-07,1.6975824165527958e-09,1.2489357595665917e-05,3.4013413919039255e-06,1.9815643099331845e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,1.70154108982145,1.8814272653165278,104,,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,1.375495465456074,1.8430883459944793,104,,6.149590352138239e-06,2.1099104655828667e-06,1.1336706929217485e-06,2.397917741622445e-06,8.719386430200211e-07,2.2584784278129957e-07,0.00020923543125456366,1.3282932036884153e-07,2.7651049612138806e-06,0.0001747008948099424,0.0018044658034906372,4.869704425082179e-06,1.0743228147291044e-06,5.189291154792756e-05,2.932740873763567e-07,1.1701277588432499e-05,2.2871444303805083e-05,2.2112743616411726e-06,5.624813994400404e-06,7.4444420138428334e-06,1.9840736039307755e-06,0.028145353552821103,0.0008291433378195484,2.836143870002051e-05,1.9528739115943078e-05,0.17143790705390918,3.390125184684466e-05,3.504637050137945e-05,7.391499394310588e-06,2.2417988699996898e-06,5.558478496389904e-07,1.9015860796982623e-06,0.26541513891115237,3.087540393554727e-05,0.00010138091724846034,0.19602415360084982,7.806837629228519e-09,6.57001730644781e-08,0.00024949836235218934,1.9550680429453612e-06,9.539081080787332e-06,1.5609437485129902e-05,0.015290533114209581,1.0939419405508376e-05,9.657409263016586e-06,0.0001351809903906947,8.545215663879504e-06,0.10452056667129911,1.3792122385692222e-06,3.495838225842126e-06,2.7785764438686735e-06,5.5144998392682796e-05,1.0880408504627526e-05,1.098245103257764e-06,1.992319509831445e-05,1.5434946769026545e-05,1.7933925339081976e-07,9.730580190902828e-07,3.5622057652755165e-06,1.0946208745366705e-07,2.92486220417862e-05,9.910144040392878e-07,2.0265804102216083e-05,5.281624110997293e-06,5.827214780437375e-07,3.0854738129089763e-06,2.936582461938944e-05,5.366032678442052e-05,0.0001175132371221001,9.239931651248694e-07,3.312697536437251e-05,1.3960660661672195e-07,5.766019831090792e-06,3.6310198314976984e-06,0.0015584966395385507,3.6745125623667184e-05,2.9986874530190725e-06,3.5579685058437232e-06,0.0026641574591218546,9.376304231982431e-07,3.252995780454257e-06,4.884995023659385e-05,2.410050573851024e-06,1.03097391848947e-05,4.4654077433087286e-07,7.707351188527132e-07,1.0655561231044527e-05,3.514725732065498e-05,2.003650606826576e-07,0.0004471470609718111,7.75981415407936e-06,9.691896569463455e-10,9.768826686779004e-08,4.8294903644001615e-05,2.0978365741848616e-05,1.8780583608865004e-05,0.0018009577633275205,2.5241421604668504e-06,6.182999213988043e-08,1.7368755930073424e-05,8.010123967590783e-05,5.162352071152485e-05,9.476442197632595e-06,0.2080182124006908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,1.3073894356142715,1.8430883479112492,104,,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-31,1.1959795196062875,0.03809523809523828,105,,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-31,1.1881997965525266,0.019047619047619195,105,,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,1.3267041736173129,1.7271805221700687,105,,0.00013499236640509166,7.880872430829507e-05,3.4720606419930215e-05,6.837820678325065e-05,5.160593166853952e-05,7.391589653317515e-06,0.0020195862063782538,6.403427973347504e-06,5.498419812332731e-05,0.0012575622415304986,0.0015257456339144895,0.00015421344866162816,4.7925846075285996e-05,0.0006624408887430922,9.051459048282608e-06,0.0003677386212531917,0.0006386029683762997,0.00013642352803698395,0.00017048637936578173,0.00019711553109410444,8.165649200983789e-05,0.02717318212654709,0.00162503089350944,0.000551199141563738,0.0007019606291665879,0.19946522099611458,0.0010416699982994566,0.0006765569942758482,,5.985606018505855e-05,2.3567151495853358e-05,8.479935689552218e-05,0.04084580786720851,0.0006289472730821603,0.0005214882286851515,0.2683566837142991,8.052360812128433e-07,2.1596961469831973e-06,0.0009293104882049984,6.641689995428073e-05,0.0006534570581540375,0.0009636482875269738,0.003066878189887721,0.0003085762577430714,0.00029173552334021226,0.001222550025271986,0.00015510722185048875,0.04825889419910795,5.669363416279187e-05,0.00015892665032137985,8.282948664157255e-05,0.0005594783198061154,0.0002850004780981309,2.750930142645911e-05,0.000542264615701091,0.0005422363454459797,8.338926259677129e-06,4.690578865541305e-05,5.307466193894328e-05,6.300985031407804e-06,0.0006786866082368082,2.9747304430935164e-05,0.0003960702121345908,0.0001322345352502021,1.6049307238712412e-05,9.93125525680424e-05,0.0004092041809373545,,0.0008355573536268799,2.1332132081794996e-05,0.0008021201618505605,8.18161258999074e-06,0.00030997533870069,0.00023187667365612936,0.006558796012892588,0.00045843293517619244,0.00013454383250779593,6.216663787601148e-05,0.008327176019885273,3.881764949759346e-05,9.511218977655815e-05,0.0010247913749086982,9.155948699529858e-05,0.0002108556629536394,1.2948200005336481e-05,2.5118093176708644e-05,0.00040319554566063914,0.0003930533655566301,5.655518564709486e-06,0.0010195980850721332,0.00024885689709798036,,7.470971919116832e-06,0.00045061468834196763,0.00026237785714278334,0.000551094642570441,0.030509907114217562,0.00011909959393544537,1.9338478722567438e-06,0.00025060711086036166,0.0009470421827831955,0.0005534804656166618,0.00013006207389428326,0.17354659078585988,0.000655850425285125,3.367975891919018e-05,0.05607805710288713,0.10507020289307836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-30,1.350527982896358,1.7255358421499736,104,,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
