date,net_return,loss,turnover
2020-01-02,0.0,-0.0,0.0
2020-01-03,0.0,-0.0,0.0
2020-01-06,0.0,-0.0,0.0
2020-01-07,0.0,-0.0,0.0
2020-01-08,0.0,-0.0,0.0
2020-01-09,0.0,-0.0,0.0
2020-01-10,0.0,-0.0,0.0
2020-01-13,0.0,-0.0,0.0
2020-01-14,0.0,-0.0,0.0
2020-01-15,0.0,-0.0,0.0
2020-01-16,0.0,-0.0,0.0
2020-01-17,0.0,-0.0,0.0
2020-01-21,0.0,-0.0,0.0
2020-01-22,0.0,-0.0,0.0
2020-01-23,0.0,-0.0,0.0
2020-01-24,0.0,-0.0,0.0
2020-01-27,0.0,-0.0,0.0
2020-01-28,0.0,-0.0,0.0
2020-01-29,0.0,-0.0,0.0
2020-01-30,0.0,-0.0,0.0
2020-01-31,-0.01948644808762481,0.01948644808762481,0.0
2020-02-03,0.014489271638401831,-0.014489271638401831,0.0
2020-02-04,0.024204263533477443,-0.024204263533477443,0.0
2020-02-05,0.008127063898760873,-0.008127063898760873,0.0
2020-02-06,0.004912477080198361,-0.004912477080198361,0.0
2020-02-07,-0.010952523596060075,0.010952523596060075,0.0
2020-02-10,0.007469655791098024,-0.007469655791098024,0.0
2020-02-11,0.008203953414513378,-0.008203953414513378,0.0
2020-02-12,0.012012792349824622,-0.012012792349824622,0.0
2020-02-13,-0.0018411981867053838,0.0018411981867053838,0.0
2020-02-14,0.0012816457413192632,-0.0012816457413192632,0.0
2020-02-18,-0.0016903576256720376,0.0016903576256720376,0.0
2020-02-19,0.01092301591713678,-0.01092301591713678,0.0
2020-02-20,-0.007865618701951068,0.007865618701951068,0.0
2020-02-21,-0.015008375684992012,0.015008375684992012,0.0
2020-02-24,-0.03429836296048744,0.03429836296048744,0.0
2020-02-25,-0.029067413089636354,0.029067413089636354,0.0
2020-02-26,-0.0023288654271929796,0.0023288654271929796,0.0
2020-02-27,-0.040908527971807565,0.040908527971807565,0.0
2020-02-28,-0.0017770945678937094,0.0017770945678937094,3.5735303605122226e-16
2020-03-02,0.03807921935463744,-0.03807921935463744,0.0
2020-03-03,-0.02826274704889342,0.02826274704889342,0.0
2020-03-04,0.04022940147667727,-0.04022940147667727,0.0
2020-03-05,-0.031652247698957116,0.031652247698957116,0.0
2020-03-06,-0.015836766989028916,0.015836766989028916,0.0
2020-03-09,-0.0702275466844158,0.0702275466844158,0.0
2020-03-10,0.04778720831542748,-0.04778720831542748,0.0
2020-03-11,-0.04500131626666466,0.04500131626666466,0.0
2020-03-12,-0.09392730995087029,0.09392730995087029,0.0
2020-03-13,0.0844994965640888,-0.0844994965640888,0.0
2020-03-16,-0.1191392930450085,0.1191392930450085,0.0
2020-03-17,0.0606205407007874,-0.0606205407007874,0.0
2020-03-18,-0.0695160488804481,0.0695160488804481,0.0
2020-03-19,0.022833376564019226,-0.022833376564019226,0.0
2020-03-20,-0.03385155574613185,0.03385155574613185,0.0
2020-03-23,-0.0007233217667573294,0.0007233217667573294,0.0
2020-03-24,0.09692087531873883,-0.09692087531873883,0.0
2020-03-25,0.006237528149735383,-0.006237528149735383,0.0
2020-03-26,0.055572598118803086,-0.055572598118803086,0.0
2020-03-27,-0.043529046170536406,0.043529046170536406,0.0
2020-03-30,0.03149070165307719,-0.03149070165307719,0.0
