date,net_return,loss,turnover,kappa,n_used,rolling_cvar_60
2020-01-02,0.0,-0.0,0.0,,0,
2020-01-03,0.0,-0.0,0.0,,0,
2020-01-06,0.0,-0.0,0.0,,0,
2020-01-07,0.0,-0.0,0.0,,0,
2020-01-08,0.0,-0.0,0.0,,0,
2020-01-09,0.0,-0.0,0.0,,0,
2020-01-10,0.0,-0.0,0.0,,0,
2020-01-13,0.0,-0.0,0.0,,0,
2020-01-14,0.0,-0.0,0.0,,0,
2020-01-15,0.0,-0.0,0.0,,0,
2020-01-16,0.0,-0.0,0.0,,0,
2020-01-17,0.0,-0.0,0.0,,0,
2020-01-21,0.0,-0.0,0.0,,0,
2020-01-22,0.0,-0.0,0.0,,0,
2020-01-23,0.0,-0.0,0.0,,0,
2020-01-24,0.0,-0.0,0.0,,0,
2020-01-27,0.0,-0.0,0.0,,0,
2020-01-28,0.0,-0.0,0.0,,0,
2020-01-29,0.0,-0.0,0.0,,0,
2020-01-30,0.0,-0.0,0.0,,0,0.0
2020-01-31,0.010152745677765194,-0.010152745677765194,1.587781445745447,1.0,103,0.0
2020-02-03,0.011756907548418995,-0.011756907548418995,0.0,,103,0.0
2020-02-04,0.0031518155017904942,-0.0031518155017904942,0.0,,103,0.0
2020-02-05,-0.0027791056426006724,0.0027791056426006724,0.0,,103,0.0013895528213003362
2020-02-06,0.0029056343236516543,-0.0029056343236516543,0.0,,103,0.0013895528213003362
2020-02-07,-0.00308561510058049,0.00308561510058049,0.0,,103,0.0029323603715905814
2020-02-10,0.005671071524993716,-0.005671071524993716,0.0,,103,0.0029323603715905814
2020-02-11,0.0028048227616075004,-0.0028048227616075004,0.0,,103,0.0029323603715905814
2020-02-12,0.0035969398756061383,-0.0035969398756061383,0.0,,103,0.0029323603715905814
2020-02-13,0.0007680020866951424,-0.0007680020866951424,0.0,,103,0.0029323603715905814
2020-02-14,0.001843612784031745,-0.001843612784031745,0.0,,103,0.0029323603715905814
2020-02-18,0.006791023011651424,-0.006791023011651424,0.0,,103,0.0029323603715905814
2020-02-19,0.002080619144721466,-0.002080619144721466,0.0,,103,0.0029323603715905814
2020-02-20,-0.00483473128996389,0.00483473128996389,0.0,,103,0.00396017319527219
2020-02-21,-0.0037897394658109847,0.0037897394658109847,0.0,,103,0.004312235377887438
2020-02-24,-0.014855186654625986,0.014855186654625986,0.0,,103,0.009844958972294938
2020-02-25,-0.021915239479001748,0.021915239479001748,0.0,,103,0.018385213066813868
2020-02-26,-0.0038133032790383385,0.0038133032790383385,0.0,,103,0.018385213066813868
2020-02-27,-0.03559677427089967,0.03559677427089967,0.0,,103,0.02875600687495071
2020-02-28,-0.030354324701753754,0.030354324701753754,0.4380106684250617,1.0,103,0.03297554948632671
2020-03-02,0.034386518628084665,-0.034386518628084665,0.0,,103,0.029288779483885054
2020-03-03,-0.00840808215113826,0.00840808215113826,0.0,,103,0.029288779483885054
2020-03-04,0.0514449661317323,-0.0514449661317323,0.0,,103,0.029288779483885054
2020-03-05,-0.017415434670305343,0.017415434670305343,0.0,,103,0.029288779483885054
2020-03-06,-0.0051793688449318954,0.0051793688449318954,0.0,,103,0.029288779483885054
2020-03-09,-0.05723466167220858,0.05723466167220858,0.0,,103,0.041061920214954
