date,model,hhi,max_weight,n_eff
2020-01-31,A_ceil_CVaR,0.11799028140304778,0.21241935610121865,8.475274303178068
2020-02-28,A_ceil_CVaR,0.17540348059586558,0.26310188476811414,5.70114114385237
2020-03-31,A_ceil_CVaR,0.45138928181692156,0.6393226347816429,2.21538268692341
2020-04-30,A_ceil_CVaR,0.43890042937621204,0.6295923036452341,2.27842110207377
2020-05-29,A_ceil_CVaR,0.37777041838886616,0.5669221428595708,2.6471103911863962
2020-06-30,A_ceil_CVaR,0.7528640268801313,0.8604528406818615,1.3282610993435298
2020-07-31,A_ceil_CVaR,0.5223846623388919,0.6802005250451284,1.914298163967264
2020-08-31,A_ceil_CVaR,0.34990987037823074,0.5370801106900359,2.857878798671962
2020-09-30,A_ceil_CVaR,0.3485357878098403,0.5398758538655498,2.8691458236868232
2020-10-30,A_ceil_CVaR,0.01,0.01,100.0
2020-11-30,A_ceil_CVaR,0.01,0.01,100.0
2020-12-31,A_ceil_CVaR,0.01,0.01,100.0
2021-01-29,A_ceil_CVaR,0.3461608536792852,0.5459580676068746,2.888830407514799
2021-02-26,A_ceil_CVaR,0.3591397150907433,0.5484778168931341,2.784431679318261
2021-03-31,A_ceil_CVaR,0.01,0.01,100.0
2021-04-30,A_ceil_CVaR,0.1454224565216671,0.24620055565595883,6.876517038144008
2021-05-28,A_ceil_CVaR,0.20320871933182624,0.30980007929750597,4.921048679840686
2021-06-30,A_ceil_CVaR,0.18803066650765166,0.3094510507549684,5.318281419585918
2021-07-30,A_ceil_CVaR,0.192866738193416,0.31289773499676826,5.184927216413813
2021-08-31,A_ceil_CVaR,0.01,0.01,100.0
2021-09-30,A_ceil_CVaR,0.01,0.01,100.0
2021-10-29,A_ceil_CVaR,0.01,0.01,100.0
2021-11-30,A_ceil_CVaR,0.0576539382608521,0.134741781688756,17.344868887803546
2021-12-31,A_ceil_CVaR,0.10435529707623667,0.2328254746477592,9.582647244724443
2022-01-31,A_ceil_CVaR,0.08717267207424453,0.1822819636146607,11.471484998742552
2022-02-28,A_ceil_CVaR,0.01,0.01,100.0
2022-03-31,A_ceil_CVaR,0.07939593704872948,0.18933276868704668,12.595102938154723
2022-04-29,A_ceil_CVaR,0.08616302470202704,0.18459945703883895,11.60590640194267
2022-05-31,A_ceil_CVaR,0.117117323115722,0.24666286105300594,8.538446520092625
2022-06-30,A_ceil_CVaR,0.01,0.01,100.0
2022-07-29,A_ceil_CVaR,0.12063642107579946,0.2689830465400526,8.289370582136801
2022-08-31,A_ceil_CVaR,0.1240782315977007,0.25828652882463426,8.05943143389006
2022-09-30,A_ceil_CVaR,0.01,0.01,100.0
2022-10-31,A_ceil_CVaR,0.14582833327233305,0.22425788297086902,6.857377970113046
2022-11-30,A_ceil_CVaR,0.14848224092280082,0.25521544795556567,6.734812148477217
2022-12-30,A_ceil_CVaR,0.1242147947590576,0.21967488778957261,8.05057080309736
2023-01-31,A_ceil_CVaR,0.01,0.01,100.0
2023-02-28,A_ceil_CVaR,0.01,0.01,100.0
2023-03-31,A_ceil_CVaR,0.10578700222237808,0.20172592001542783,9.452957159121208
2023-04-28,A_ceil_CVaR,0.01,0.01,100.0
2023-05-31,A_ceil_CVaR,0.13592942304919578,0.2959891771004518,7.356758953049322
2023-06-30,A_ceil_CVaR,0.01,0.01,100.0
2023-07-31,A_ceil_CVaR,0.10102215708984753,0.22716024941667592,9.898818524639259
2023-08-31,A_ceil_CVaR,0.1087366550225498,0.1930210642073899,9.19653082755415
2023-09-29,A_ceil_CVaR,0.01,0.01,100.0
2023-10-31,A_ceil_CVaR,0.01,0.01,100.0
2023-11-30,A_ceil_CVaR,0.01,0.01,100.0
2023-12-29,A_ceil_CVaR,0.01,0.01,100.0
2024-01-31,A_ceil_CVaR,0.01,0.01,100.0
2024-02-29,A_ceil_CVaR,0.01,0.01,100.0
2024-03-28,A_ceil_CVaR,0.01,0.01,100.0
2024-04-30,A_ceil_CVaR,0.04265923903478104,0.08197569134382864,23.44158083046623
2024-05-31,A_ceil_CVaR,0.05200251136438388,0.11281367810387394,19.22984051660421
2024-06-28,A_ceil_CVaR,0.01,0.01,100.0
2024-07-31,A_ceil_CVaR,0.045992000134608635,0.10720360588051252,21.742911747112895
2024-08-30,A_ceil_CVaR,0.01,0.01,100.0
2024-09-30,A_ceil_CVaR,0.01,0.01,100.0
2024-10-31,A_ceil_CVaR,0.0597436632103294,0.1575916692795345,16.738176841943375
2024-11-29,A_ceil_CVaR,0.01,0.01,100.0
2024-12-31,A_ceil_CVaR,0.01,0.01,100.0
2020-01-31,B_fixed_kappa,0.2468150307385551,0.4546938596110043,4.051617103738202
2020-02-28,B_fixed_kappa,0.16903509161694516,0.3133217967999938,5.915931363329729
2020-03-31,B_fixed_kappa,0.01,0.01,100.0
2020-04-30,B_fixed_kappa,0.3062170299972769,0.4693293318345518,3.265657693854887
2020-05-29,B_fixed_kappa,0.2532751778634679,0.3951975427358536,3.948274791219636
2020-06-30,B_fixed_kappa,0.2583943903364784,0.39522196652977726,3.8700530560969644
2020-07-31,B_fixed_kappa,0.24504224934226537,0.3859145600026351,4.080928911990354
2020-08-31,B_fixed_kappa,0.25377021966700125,0.37940073340821334,3.9405727012105904
2020-09-30,B_fixed_kappa,0.2455492765627389,0.3467394991448775,4.072502326206185
2020-10-30,B_fixed_kappa,0.2442459550183034,0.34559852809969116,4.094233617605097
2020-11-30,B_fixed_kappa,0.27830476523565295,0.42508725896840494,3.5931831751183125
2020-12-31,B_fixed_kappa,0.24356906690502284,0.37087542953978936,4.105611655481439
2021-01-29,B_fixed_kappa,0.2528778709120277,0.37087542746184254,3.9544780901286716
2021-02-26,B_fixed_kappa,0.01,0.01,100.0
2021-03-31,B_fixed_kappa,0.21575651526089998,0.3260552764813367,4.634854242017983
2021-04-30,B_fixed_kappa,0.01,0.01,100.0
2021-05-28,B_fixed_kappa,0.21346813931058387,0.3489520751239423,4.684539825144855
2021-06-30,B_fixed_kappa,0.01,0.01,100.0
2021-07-30,B_fixed_kappa,0.01,0.01,100.0
