date,model,rcvar_train,cvar_holdout,oos_gap
2020-01-31,A_ceil_CVaR,0.011812160704346705,0.04283672914358453,0.031024568439237826
2020-02-28,A_ceil_CVaR,0.014578300638923116,0.08970474897030233,0.07512644833137921
2020-03-31,A_ceil_CVaR,0.03218164188380908,0.01805842963801422,-0.01412321224579486
2020-04-30,A_ceil_CVaR,0.031130859994802744,0.019697545167268307,-0.011433314827534437
2020-05-29,A_ceil_CVaR,0.031192879391304638,0.019961905012775005,-0.011230974378529632
2020-06-30,A_ceil_CVaR,0.03336602904033086,0.015719182294398074,-0.01764684674593279
2020-07-31,A_ceil_CVaR,0.03138581348367718,0.008415697782138078,-0.022970115701539104
2020-08-31,A_ceil_CVaR,0.030463593759291398,0.017250658805301404,-0.013212934953989994
2020-09-30,A_ceil_CVaR,0.030638268996979058,0.01731978873920156,-0.013318480257777498
2020-10-30,A_ceil_CVaR,0.05926346108348876,0.012439799938886205,-0.046823661144602555
2020-11-30,A_ceil_CVaR,0.05748246715000576,0.006551054905793003,-0.050931412244212756
2020-12-31,A_ceil_CVaR,0.05748246715000576,0.024760785167046107,-0.032721681982959654
2021-01-29,A_ceil_CVaR,0.03334784066534458,0.015722901239378195,-0.017624939425966386
2021-02-26,A_ceil_CVaR,0.03167997062770069,0.011855981406929127,-0.019823989220771564
2021-03-31,A_ceil_CVaR,0.03275402801780903,0.007948289731724371,-0.024805738286084657
2021-04-30,A_ceil_CVaR,0.017188937987029022,0.020532891095232705,0.0033439531082036823
2021-05-28,A_ceil_CVaR,0.015545215745752053,0.01287715252853253,-0.0026680632172195237
2021-06-30,A_ceil_CVaR,0.013511234081480323,0.005990207246952422,-0.007521026834527901
2021-07-30,A_ceil_CVaR,0.013077300442553164,0.00962337773134794,-0.003453922711205225
2021-08-31,A_ceil_CVaR,0.022112221585764702,0.015685815972932723,-0.006426405612831979
2021-09-30,A_ceil_CVaR,0.018307220018411667,0.010187876629846878,-0.008119343388564789
2021-10-29,A_ceil_CVaR,0.01595090852273553,0.023042261397609266,0.007091352874873735
2021-11-30,A_ceil_CVaR,0.011867285039414347,0.00925242639311334,-0.002614858646301007
2021-12-31,A_ceil_CVaR,0.011739209860310974,0.013989403469195286,0.002250193608884312
2022-01-31,A_ceil_CVaR,0.010715205818501957,0.016148420989688016,0.005433215171186058
2022-02-28,A_ceil_CVaR,0.018012081693865232,0.021341667761757138,0.0033295860678919063
2022-03-31,A_ceil_CVaR,0.011797200514588787,0.030893276804765283,0.019096076290176497
2022-04-29,A_ceil_CVaR,0.012055464621882022,0.028553913276852687,0.016498448654970667
2022-05-31,A_ceil_CVaR,0.013844326743279537,0.025239733154045194,0.011395406410765656
2022-06-30,A_ceil_CVaR,0.029275157448576356,0.009625381197303284,-0.019649776251273073
2022-07-29,A_ceil_CVaR,0.016843208148010824,0.017252111608996732,0.0004089034609859078
2022-08-31,A_ceil_CVaR,0.016539367913373054,0.02165533203947752,0.005115964126104468
2022-09-30,A_ceil_CVaR,0.031269527202619656,0.02078587299066499,-0.010483654211954664
2022-10-31,A_ceil_CVaR,0.018096445096905504,0.017663220189286392,-0.0004332249076191112
2022-11-30,A_ceil_CVaR,0.01697674718258578,0.015237069493372814,-0.0017396776892129664
2022-12-30,A_ceil_CVaR,0.016655953861786456,0.02338481050047839,0.0067288566386919345
2023-01-31,A_ceil_CVaR,0.031204706546503827,0.018426832057927448,-0.012777874488576379
2023-02-28,A_ceil_CVaR,0.0295376127605765,0.019677760305024973,-0.009859852455551526
2023-03-31,A_ceil_CVaR,0.01902500097057008,0.014328119629163378,-0.0046968813414067015
2023-04-28,A_ceil_CVaR,0.02992139228045099,0.01343413406426354,-0.01648725821618745
2023-05-31,A_ceil_CVaR,0.016704272263023984,0.0065074431132454615,-0.010196829149778522
2023-06-30,A_ceil_CVaR,0.023398511244989564,0.010928948620489914,-0.01246956262449965
2023-07-31,A_ceil_CVaR,0.01613650020843322,0.008624658827841719,-0.007511841380591501
2023-08-31,A_ceil_CVaR,0.014465133432016148,0.011600111868094716,-0.0028650215639214327
