date,n_constituents_raw,n_used_t,solve_time,solve_ok,tail_sample_size,top10_weight_sum,max_weight,hhi,dropped_count
2020-01-31,505,473,72.48721979989205,True,13,0.021141649048625793,0.0021141649048625794,0.00211416490486258,32
2020-02-28,505,473,72.70980119996238,True,13,0.021141649048625793,0.0021141649048625794,0.00211416490486258,32
2020-03-31,505,475,75.39214949996676,True,13,0.021052631578947364,0.002105263157894737,0.002105263157894737,30
2020-04-30,504,473,81.43951939989347,True,13,0.021141649048625793,0.0021141649048625794,0.00211416490486258,31
2020-05-29,504,474,78.88559319998603,True,13,0.021097046413502105,0.002109704641350211,0.0021097046413502104,30
2020-06-30,504,475,81.89692900003865,True,13,0.021052631578947364,0.002105263157894737,0.002105263157894737,29
2020-07-31,504,475,73.12021389999427,True,13,0.021052631578947364,0.002105263157894737,0.002105263157894737,29
2020-08-31,504,475,72.59076020005159,True,13,0.021052631578947364,0.002105263157894737,0.002105263157894737,29
2020-09-30,504,477,72.83585689996835,True,13,0.0209643605870021,0.0020964360587002098,0.0020964360587002098,27
2020-10-30,504,476,75.00244479998946,True,13,0.021008403361344536,0.0021008403361344537,0.002100840336134454,28
2020-11-30,504,477,73.5111312000081,True,13,0.0209643605870021,0.0020964360587002098,0.0020964360587002098,27
2020-12-31,504,478,75.95982780004852,True,13,0.020920502092050205,0.0020920502092050207,0.00209205020920502,26
2021-01-29,504,481,91.84299599996302,True,13,0.02079002079002079,0.002079002079002079,0.002079002079002079,23
2021-02-26,504,481,75.9190316000022,True,13,0.02079002079002079,0.002079002079002079,0.002079002079002079,23
2021-03-31,504,484,71.82467949995771,True,13,0.02066115702479339,0.002066115702479339,0.002066115702479339,20
2021-04-30,504,484,76.93198720004875,True,13,0.02066115702479339,0.002066115702479339,0.002066115702479339,20
2021-05-28,504,483,71.73747860000003,True,13,0.020703933747412008,0.002070393374741201,0.002070393374741201,21
2021-06-30,504,482,73.89654009998776,True,13,0.02074688796680498,0.002074688796680498,0.0020746887966804975,22
2021-07-30,504,483,73.29237699997611,True,13,0.020703933747412008,0.002070393374741201,0.002070393374741201,21
2021-08-31,504,485,78.81001929997001,True,13,0.020618556701030927,0.002061855670103093,0.0020618556701030924,19
2021-09-30,504,484,72.02565699990373,True,13,0.02066115702479339,0.002066115702479339,0.002066115702479339,20
2021-10-29,504,484,72.04955369990785,True,13,0.02066115702479339,0.002066115702479339,0.002066115702479339,20
