annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_5pct,cvar_5pct,avg_turnover,total_transaction_cost,calmar_ratio,method,crisis_2020,crisis_2022
0.03844309716488681,0.11250964911294273,0.341687112776396,0.45143005481295423,0.18309136594701558,0.010989848613308872,0.016257396358939007,0.008444913556362581,0.0,0.20996673964413906,rolling_C_state_robust,0.0227214552026912,0.09111546593105002
0.042567133688102166,0.11406441556945744,0.37318504176424494,0.49409387902911833,0.1863620244587776,0.011244497691987893,0.016460870365872876,0.008561843545790471,0.0,0.22841098561642753,rolling_B_fixed_robust,0.03022672943460125,0.09449876213806296
0.026778390651010175,0.11600943972813316,0.23082941107003913,0.3024000789930698,0.2000247894678263,0.010906160603279823,0.016707410286966966,0.006988843168320445,0.0,0.1338753597604333,rolling_A_plain_cvar,0.04185934160691629,0.10992292499636613
0.04591693286379828,0.11576980624474276,0.39662269768965275,0.5143577845240248,0.19861138572332504,0.01129861867638569,0.016775154788518,0.008670996843371543,0.0,0.231189831824459,rolling_D_state_action_robust,0.03836354983688117,0.09138105508851091
0.08847442780706438,0.13762910045562496,0.6428468072098658,0.7952120317622616,0.22176256923085236,0.011975410320818766,0.020554073437349923,0.0,0.0,0.39896014964979726,baseline_min_variance,,
0.10119468129346032,0.17510102279733084,0.57792170300791,0.7027394194337144,0.3029490006550175,0.01542973372825042,0.02599618784034957,0.0,0.0,0.33403206835032784,baseline_equal_weight,,
0.0867012371031286,0.1848141289591242,0.4691266711664915,0.5563119579921997,0.3312424148032028,0.01573331803827295,0.027458001534276424,0.0,0.0,0.2617455773429239,rl_ppo,,
0.0867012371031286,0.1848141289591242,0.4691266711664915,0.5563119579921997,0.3312424148032028,0.01573331803827295,0.027458001534276424,0.0,0.0,0.2617455773429239,rl_cvar_ppo,,
0.0867012371031286,0.1848141289591242,0.4691266711664915,0.5563119579921997,0.3312424148032028,0.01573331803827295,0.027458001534276424,0.0,0.0,0.2617455773429239,rl_state_robust_ppo,,
0.0867012371031286,0.1848141289591242,0.4691266711664915,0.5563119579921997,0.3312424148032028,0.01573331803827295,0.027458001534276424,0.0,0.0,0.2617455773429239,rl_fixed_robust_ppo,,
0.0867012371031286,0.1848141289591242,0.4691266711664915,0.5563119579921997,0.3312424148032028,0.01573331803827295,0.027458001534276424,0.0,0.0,0.2617455773429239,rl_sad_robust_ppo,,
